Brand,Model,Protocol,Transport,ReadMe
APsystems,ECU SunSpec gateway,apsystems_ecu_sunspec,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/APsystems.md
Deye / Sunsynk,Hybrid inverter,deye_sunsynk,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Deye_Sunsynk.md
Deye / Sunsynk,Hybrid inverter extended map,deye_sunsynk_hybrid,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Deye_Sunsynk.md
EG4,18KPV,eg4_18kpv,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/EG4.md
EG4,3000EHV,eg4_3000ehv_v1,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/EG4.md
EG4,GridBOSS / related equipment,eg4_gridboss_re,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/EG4.md
EG4,LL-S battery,eg4_ll_s,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/EG4.md
EG4,6000XP / 12000XP / 18KPV family,eg4_v58,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/EG4.md
Enphase,IQ Gateway SunSpec,enphase_iq_gateway_sunspec,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Enphase.md
FoxESS,H1 LAN / KH / H3-style holding-register map,foxess_h1_lan,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/FoxESS.md
Fronius,SunSpec inverter,fronius_sunspec,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Fronius.md
Growatt,Inverter protocol v1.24,growatt_2020_v1.24,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Growatt.md
Growatt,BMS CAN bus v1.04,growatt_bms_canbus_v1.04,CanBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Growatt.md
Growatt,BMS RS-485 1xSxxP ESS v2.01,growatt_bms_rs485_1xsxxp_ess_v2.01,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Growatt.md
Growatt,SPF / off-grid inverter protocol v0.14,growatt_v0.14,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Growatt.md
HDHK,16-channel AC power monitor,hdhk_16ch_ac_module,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/HDHK.md
Huawei,SUN2000 inverter,huawei_sun2000,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Huawei.md
Next Power,Victor NM RE,next_power_victor_nm_re,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Next_Power.md
PACE,BMS RS-485 v1.3,pace_bms_v1.3,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/PACE.md
Pylon / Pylontech,Low-voltage CAN bus,pylon_can,CanBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Pylon.md
Pylon / Pylontech,Low-voltage RS-485 v3.3,pylon_rs485_v3.3,Serial,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Pylon.md
Sigineer,Solar inverter / charger v0.11,sigineer_v0.11,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Sigineer.md
