register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
# ─── System / Identity ─────────────────────────────────────────────────────────,,,,,,,,,
16,rated_power_hi,Rated Power High Word,W,uint16,,,R,,High word of 32-bit rated power; combine with register 17
17,rated_power_lo,Rated Power Low Word,W,uint16,,,R,,Low word of 32-bit rated power; full value = (reg16<<16)|reg17; multiply by 0.1
22,date_time_year_month,Date Time Year/Month,,uint16,,,R/W,,High byte = year (offset from 2000); low byte = month (1-12)
23,date_time_day_hour,Date Time Day/Hour,,uint16,,,R/W,,High byte = day; low byte = hour
24,date_time_min_sec,Date Time Minute/Second,,uint16,,,R/W,,High byte = minute; low byte = second
43,inverter_enabled,Inverter Enable,,uint16,"0=off,1=on",,R/W,,Enable or disable inverter output
59,overall_state,Overall State,,uint16,"0=standby,1=self-check,2=normal,3=alarm,4=fault",,R,,Inverter operating state; see Fronius state table
60,day_active_energy,Day Active Energy,0.1kWh,int16,,,R,,AC energy generated today; multiply by -0.1 for kWh (signed; negative = generation)
61,day_reactive_energy,Day Reactive Energy,0.1kVarh,int16,,,R,,Reactive energy today; multiply by -0.1
63,total_active_energy_hi,Total Active Energy High,0.1kWh,uint16,,,R,,High word of 32-bit lifetime energy; combine with reg64; multiply by 0.1
64,total_active_energy_lo,Total Active Energy Low,0.1kWh,uint16,,,R,,Low word of 32-bit lifetime active energy
65,month_pv_energy,Month PV Energy,0.1kWh,uint16,,,R,,PV energy generated this calendar month; multiply by 0.1
66,month_load_energy,Month Load Energy,0.1kWh,uint16,,,R,,Load energy consumed this month; multiply by 0.1
67,month_grid_energy,Month Grid Energy,0.1kWh,uint16,,,R,,Grid energy (import) this month; multiply by 0.1
68,year_pv_energy_hi,Year PV Energy High,0.1kWh,uint16,,,R,,High word of 32-bit year PV energy
69,year_pv_energy_lo,Year PV Energy Low,0.1kWh,uint16,,,R,,Low word of 32-bit year PV energy
70,day_battery_charge,Day Battery Charge,0.1kWh,uint16,,,R,,Battery energy charged today; multiply by 0.1
71,day_battery_discharge,Day Battery Discharge,0.1kWh,uint16,,,R,,Battery energy discharged today; multiply by 0.1
72,total_battery_charge_hi,Total Battery Charge High,0.1kWh,uint16,,,R,,Lifetime battery charged (high word); multiply by 0.1
73,total_battery_charge_lo,Total Battery Charge Low,0.1kWh,uint16,,,R,,Lifetime battery charged (low word)
74,total_battery_discharge_hi,Total Battery Discharge High,0.1kWh,uint16,,,R,,Lifetime battery discharged (high word)
75,total_battery_discharge_lo,Total Battery Discharge Low,0.1kWh,uint16,,,R,,Lifetime battery discharged (low word)
76,day_grid_import,Day Grid Import,0.1kWh,uint16,,,R,,Grid energy imported today; multiply by 0.1
77,day_grid_export,Day Grid Export,0.1kWh,uint16,,,R,,Grid energy exported today; multiply by 0.1
78,total_grid_import_hi,Total Grid Import High,0.1kWh,uint16,,,R,,Lifetime grid import (high word)
80,total_grid_import_lo,Total Grid Import Low,0.1kWh,uint16,,,R,,Lifetime grid import (low word); note register 79 is gap
81,total_grid_export_hi,Total Grid Export High,0.1kWh,uint16,,,R,,Lifetime grid export (high word)
82,total_grid_export_lo,Total Grid Export Low,0.1kWh,uint16,,,R,,Lifetime grid export (low word)
84,day_load_energy,Day Load Energy,0.1kWh,uint16,,,R,,Load energy consumed today; multiply by 0.1
85,total_load_energy_hi,Total Load Energy High,0.1kWh,uint16,,,R,,Lifetime load energy (high word)
86,total_load_energy_lo,Total Load Energy Low,0.1kWh,uint16,,,R,,Lifetime load energy (low word)
87,year_load_energy_hi,Year Load Energy High,0.1kWh,uint16,,,R,,Year-to-date load energy (high word)
88,year_load_energy_lo,Year Load Energy Low,0.1kWh,uint16,,,R,,Year-to-date load energy (low word)
90,dc_transformer_temperature,DC Transformer Temperature,0.1°C,int16,,,R,,Internal DC transformer temperature; multiply by 0.1
91,radiator_temperature,Radiator Temperature,0.1°C,int16,,,R,,Heat sink / radiator temperature; multiply by 0.1
92,sd_status,SD Card Status,,uint16,,,R,,SD card present and status code
95,environment_temperature,Environment Temperature,0.1°C,int16,,,R,,Ambient temperature sensor; multiply by 0.1
96,total_pv_energy_hi,Total PV Energy High,0.1kWh,uint16,,,R,,Lifetime PV energy (high word)
