register,variable_name,documented_name,unit,data_type,values,,writable,read_interval,note
0,register_0,Register 0,,ushort,0-65535,,R,,Unknown
1,register_1,Register 1,,ushort,0-65535,,R,,Unknown
2,sn_0_year,SN_0_Year,,ASCII,'0'-'9',,R,,The Serial number consists of the
2.2,sn_1_week,SN_1_week,,ASCII,'A'-'Z',,R,,bytes ASCII code
3,sn_2_week,SN_2_week,,ASCII,'0'-'9',,R,,ie?AB12345678
3.2,sn_3_factory,SN_3_factory,,ASCII,'A'-'Z',,R,,SN[0]=0x41(A)
4,sn_4_product_code,SN_4_Product_code,,ASCII,'0'-'9',,R,,
4.2,sn_5_product_code,SN_5_Product_code,,ASCII,'A'-'Z',,R,,
5,sn_6_product_code,SN_6_Product_code,,ASCII,'0'-'9',,R,,
5.2,sn_7_batch_number,SN_7_batch_number,,ASCII,'A'-'Z',,R,,
6,sn_8_batch_number,SN_8_batch_number,,ASCII,'0'-'9',,R,,SN[9]=0x38(8)
6.2,sn_9_batch_number,SN_9_batch_number,,ASCII,'A'-'Z',,R,,
7,fwcode,FWCode,,ASCII,[a-zA-Z],,W,,For more information of the model code
8,register_8,Register 8,,ushort,0-65535,,R,,Unknown
9.b0,slave_ver,Slave_Ver,,8bit,0-255,,W,,For more information of the software version number for redundant CPU
9.b8,com_ver,Com_Ver,,8bit,0-255,,W,,For Communication CPU software version number
10.b0,cntl_ver,Cntl_Ver,,8bit,0-255,,W,,For Control CPU software version number
10.b8,fwver,FWVer,,8bit,0-255,,W,,For external software version
11.b0,resetsetting_energyrecordclr,ResetSetting_EnergyRecordClr,0,1bit,0-1,,W,,Resetting energy and running time
11.b1,resetsetting_alltodefault,ResetSetting_AlltoDefault,1,1bit,0-1,,W,,Reset all settings
11.b2,resetsetting_adjratioclr,ResetSetting_AdjRatioClr,2,1bit,0-1,,W,,Reset all adjust data
11.b3,resetsetting_faultrecordclr,ResetSetting_FaultRecordClr,3,1bit,0-1,,W,,Clear the failure record
11.b4,resetsetting_monitordata,ResetSetting_MonitorData,4,1bit,,,R,,
11.b5,resetsetting_bmschgswon,ResetSetting_BMSChgSWOn,5,1bit,,,R,,
