register,variable_name,documented_name,unit,data_type,values,adjustments,note,writable,read_interval
0,state,State,,,0-65535,,see operating mode definition table,R,
1,vpv1,Vpv1,0.1V,,0-65535,,PV1 voltage,R,
2,vpv2,Vpv2,0.1V,,0-65535,,PV2 voltage,R,
3,vpv3,Vpv3,0.1V,,0-65535,,PV3 voltage,R,
4,vbat,Vbat,0.1V,,0-65535,,Battery voltage,R,
5.b0,soc,SOC,%,8bit,0-100,,Battery capacity,R,
5.b8,soh,SOH,%,8bit,0-100,,Battery State of health,R,
6,internalfault,InternalFault,,,0-1,,Internal Fault,R,
7,ppv1,Ppv1,W,,0-65535,,PV1 power,R,
8,ppv2,Ppv2,W,,0-65535,,PV2 power,R,
9,ppv3,Ppv3,W,,0-65535,,PV3 power,R,
10,pcharge,Pcharge,W,,0-65535,,Charging power (power flowing into the battery),R,
11,pdischarge,Pdischarge,W,,0-65535,,Discharging power (power flowing out of battery),R,
12,vacr,VacR,0.1V,,0-65535,,R-phase utility three phase grid voltage,R,
13,vacs,VacS,0.1V,,0-65535,,S-phase utility three phase grid voltage,R,
14,vact,VacT,0.1V,,0-65535,,T-phase utility three phase grid voltage,R,
15,fac,Fac,0.01Hz,,0-65535,,Utility grid frequency,R,
16,pinv,Pinv,W,,0-65535,,On-gird inverter power (For three phase: R phase),R,
17,prec,Prec,W,,0-65535,,AC charging rectification power (For three phase: R phase),R,
18,iinvrms,IinvRMS,0.01A,,0-65535,,Inverter rms current output (For three phase: R phase),R,
19,pf,PF,,,0-2000,"{""High_Low"":""x?(0,1000]->x/1000 x?(1000,2000)->(1000-x)/1000""}",Power factor for single phase or R phase of three phase,R,
20,vepsr,VepsR,0.1V,,0-65535,,R phase off-grid three phase output voltage,R,
21,vepss,VepsS,0.1V,,0-65535,,S phase off-grid three phase output voltage,R,
22,vepst,VepsT,0.1V,,0-65535,,T phase off-grid three phase output voltage,R,
23,feps,Feps,0.01Hz,,0-65535,,Off-grid output frequency,R,
24,peps,Peps,W,,0-65535,,Off-grid inverter power (For three phase: R phase),R,
25,seps,Seps,VA,,0-65535,,Off-grid apparent power (For three phase: R phase),R,
26,ptogrid,Ptogrid,W,,0-65535,,Real time rate system export power to grid ( or for three phase: R phase),R,
27,ptouser,Ptouser,W,,0-65535,,Real time rate system import power from the Grid (or for three phase: R phase),R,
28,epv1_day,Epv1_day,0.1kWh,,0-65535,,PV1 power generation today / AC Energy Storage Epv_day,R,
29,epv2_day,Epv2_day,0.1kWh,,0-65535,,PV2 power generation today,R,
30,epv3_day,Epv3_day,0.1kWh,,0-65535,,PV3 power generation today (total PV=PV1+PV2+PV3),R,
31,einv_day,Einv_day,0.1kWh,,0-65535,,Today's on-grid inverter output energy,R,
32,erec_day,Erec_day,0.1kWh,,0-65535,,Today's AC charging rectifier energy,R,
33,echg_day,Echg_day,0.1kWh,,0-65535,,Energy Charge today,R,
34,edischg_day,Edischg_day,0.1kWh,,0-65535,,Energy Discharge today,R,
35,eeps_day,Eeps_day,0.1kWh,,0-65535,,Today's off-grid output energy,R,
36,etogrid_day,Etogrid_day,0.1kWh,,0-65535,,Today's export to grid energy,R,
37,etouser_day,Etouser_day,0.1kWh,,0-65535,,Electricity supplied to user from the grid today,R,
38,vbus1,Vbus1,0.1V,,0-65535,,Voltage of Bus 1,R,
39,vbus2,Vbus2,0.1V,,0-65535,,Voltage of Bus 2,R,
40,epv1_all,Epv1_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",PV1 cumulative power generation/AC energy storage Epv_all Low byte,R,
42,epv2_all,Epv2_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",PV2 cumulative power generation low high byte combined,R,
44,epv3_all,Epv3_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",PV3 cumulative power generation low byte (total PV=PV1+PV2+PV3),R,
46,einv_all,Einv_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",Inverter output accumulated power low high byte combined,R,
48,erec_all,Erec_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",AC charging accumulates rectified power Low byte,R,
50,echg_all,Echg_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",Cumulative charge energy low byte,R,
52,edischg_all,Edischg_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",Cumulative discharge charge energy Low byte,R,
54,eeps_all,Eeps_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",Cumulative inverter off-grid output energy Low byte,R,
56,etogrid_all,Etogrid_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",Accumulate export energy Low byte,R,
58,etouser_all,Etouser_all,1kWh,UINT,0-65535,"{""Register_Endian"": ""little_endian-CDAB""}",Cumulative import energy Low byte,R,
60.b0,faultcode_e000,FaultCode_E000,,1bit,0-1,,E000 Internal communication fault 1 (DSP-M3),R,
60.b1,faultcode_e001,FaultCode_E001,,1bit,0-1,,E001 Model fault,R,
60.b2,faultcode_e002,FaultCode_E002,,1bit,0-1,,E002 reserved,R,
60.b3,faultcode_e003,FaultCode_E003,,1bit,0-1,,E003 reserved,R,
60.b4,faultcode_e004,FaultCode_E004,,1bit,0-1,,E004 reserved,R,
60.b5,faultcode_e005,FaultCode_E005,,1bit,0-1,,E005 reserved,R,
60.b6,faultcode_e006,FaultCode_E006,,1bit,0-1,,E006 reserved,R,
60.b7,faultcode_e007,FaultCode_E007,,1bit,0-1,,E007 reserved,R,
60.b8,faultcode_e008,FaultCode_E008,,1bit,0-1,,E008 Parallel CAN communication failure,R,
60.b9,faultcode_e009,FaultCode_E009,,1bit,0-1,,E009 Primary unit missing in parallel system,R,
60.b10,faultcode_e010,FaultCode_E010,,1bit,0-1,,E010 Inconsistent rated power / multiple primaries in parallel,R,
60.b11,faultcode_e011,FaultCode_E011,,1bit,0-1,,E011 AC inconsistent or grid safety settings differ in parallel,R,
60.b12,faultcode_e012,FaultCode_E012,,1bit,0-1,,E012 UPS short circuit,R,
60.b13,faultcode_e013,FaultCode_E013,,1bit,0-1,,E013 UPS backfill / reverse current on UPS output,R,
60.b14,faultcode_e014,FaultCode_E014,,1bit,0-1,,E014 BUS short circuit,R,
60.b15,faultcode_e015,FaultCode_E015,,1bit,0-1,,E015 Phase abnormality in three-phase parallel system,R,
61.b16,faultcode_e016,FaultCode_E016,,1bit,0-1,,E016 Relay fault,R,
61.b17,faultcode_e017,FaultCode_E017,,1bit,0-1,,E017 Internal communication fault 2 (DSP-M8),R,
61.b18,faultcode_e018,FaultCode_E018,,1bit,0-1,,E018 Internal communication fault 3 (DSP-M3),R,
61.b19,faultcode_e019,FaultCode_E019,,1bit,0-1,,E019 BUS over voltage,R,
61.b20,faultcode_e020,FaultCode_E020,,1bit,0-1,,E020 EPS connection fault,R,
61.b21,faultcode_e021,FaultCode_E021,,1bit,0-1,,E021 PV over voltage (not applicable to AC energy storage),R,
61.b22,faultcode_e022,FaultCode_E022,,1bit,0-1,,E022 Over current protection,R,
61.b23,faultcode_e023,FaultCode_E023,,1bit,0-1,,E023 Neutral fault,R,
61.b24,faultcode_e024,FaultCode_E024,,1bit,0-1,,E024 PV short circuit (not applicable to AC energy storage),R,
61.b25,faultcode_e025,FaultCode_E025,,1bit,0-1,,E025 Heatsink / radiator temperature out of range,R,
61.b26,faultcode_e026,FaultCode_E026,,1bit,0-1,,E026 Internal fault (Bus sample),R,
61.b27,faultcode_e027,FaultCode_E027,,1bit,0-1,,E027 Sample inconsistent between main CPU and redundant CPU,R,
61.b28,faultcode_e028,FaultCode_E028,,1bit,0-1,,E028 Generator connection inconsistent in parallel / sync signal lost,R,
61.b29,faultcode_e029,FaultCode_E029,,1bit,0-1,,E029 Parallel synchronization trigger signal loss,R,
61.b30,faultcode_e030,FaultCode_E030,,1bit,0-1,,E030 reserved,R,
61.b31,faultcode_e031,FaultCode_E031,,1bit,0-1,,E031 Internal communication fault 4 (DSP-M8),R,
62.b0,warningcode_w000,WarningCode_W000,,1bit,0-1,,W000 Battery communication failure,R,
62.b1,warningcode_w001,WarningCode_W001,,1bit,0-1,,W001 AFCI communication failure,R,
62.b2,warningcode_w002,WarningCode_W002,,1bit,0-1,,W002 AFCI High / PV arc fault detected,R,
62.b3,warningcode_w003,WarningCode_W003,,1bit,0-1,,W003 Meter communication failure,R,
62.b4,warningcode_w004,WarningCode_W004,,1bit,0-1,,W004 Battery cannot charge or discharge,R,
62.b5,warningcode_w005,WarningCode_W005,,1bit,0-1,,W005 Auto test failed,R,
62.b6,warningcode_w006,WarningCode_W006,,1bit,0-1,,W006 RSD Active,R,
62.b7,warningcode_w007,WarningCode_W007,,1bit,0-1,,W007 LCD communication failure,R,
62.b8,warningcode_w008,WarningCode_W008,,1bit,0-1,,W008 Firmware version mismatch between microprocessors,R,
62.b9,warningcode_w009,WarningCode_W009,,1bit,0-1,,W009 Fan stuck / not rotating,R,
62.b10,warningcode_w010,WarningCode_W010,,1bit,0-1,,W010 Same parallel address conflict,R,
62.b11,warningcode_w011,WarningCode_W011,,1bit,0-1,,W011 Number of secondary units in parallel exceeds limit,R,
62.b12,warningcode_w012,WarningCode_W012,,1bit,0-1,,W012 Phase loss in parallel system,R,
62.b13,warningcode_w013,WarningCode_W013,,1bit,0-1,,W013 No primary set in parallel system / over temperature,R,
62.b14,warningcode_w014,WarningCode_W014,,1bit,0-1,,W014 Multiple primary units set in parallel system,R,
62.b15,warningcode_w015,WarningCode_W015,,1bit,0-1,,W015 Battery reverse connection,R,
63.b16,warningcode_w016,WarningCode_W016,,1bit,0-1,,W016 No AC / grid connection,R,
63.b17,warningcode_w017,WarningCode_W017,,1bit,0-1,,W017 Grid voltage out of range,R,
63.b18,warningcode_w018,WarningCode_W018,,1bit,0-1,,W018 Grid frequency out of range,R,
63.b19,warningcode_w019,WarningCode_W019,,1bit,0-1,,W019 AC inconsistent in parallel system,R,
63.b20,warningcode_w020,WarningCode_W020,,1bit,0-1,,W020 PV insulation resistance low (not applicable to AC energy storage),R,
63.b21,warningcode_w021,WarningCode_W021,,1bit,0-1,,W021 Leakage current too high,R,
63.b22,warningcode_w022,WarningCode_W022,,1bit,0-1,,W022 DC injection current too high,R,
63.b23,warningcode_w023,WarningCode_W023,,1bit,0-1,,W023 PV short circuit (not applicable to AC energy storage),R,
63.b24,warningcode_w024,WarningCode_W024,,1bit,0-1,,W024 reserved,R,
63.b25,warningcode_w025,WarningCode_W025,,1bit,0-1,,W025 Battery voltage high,R,
63.b26,warningcode_w026,WarningCode_W026,,1bit,0-1,,W026 Battery voltage low,R,
63.b27,warningcode_w027,WarningCode_W027,,1bit,0-1,,W027 Battery open circuit / disconnected,R,
63.b28,warningcode_w028,WarningCode_W028,,1bit,0-1,,W028 EPS / off-grid overload,R,
63.b29,warningcode_w029,WarningCode_W029,,1bit,0-1,,W029 EPS / off-grid over voltage,R,
63.b30,warningcode_w030,WarningCode_W030,,1bit,0-1,,W030 Meter reversed connection,R,
63.b31,warningcode_w031,WarningCode_W031,,1bit,0-1,,W031 DCV / EPS DC voltage high,R,
64,tinner,Tinner,celsius,SHORT,0-65535,,Internal temperature,R,
65,tradiator1,Tradiator1,celsius,SHORT,0-65535,,Radiator temperature 1,R,
66,tradiator2,Tradiator2,celsius,SHORT,0-65535,,Radiator temperature 2,R,
67,tbat,Tbat,,SHORT,0-65535,,Battery Over-Current Protection (OCP) count.  Will show as 2 for debug.,R,
69,runningtime,RunningTime,second,UINT,,"{""Register_Endian"": ""little_endian-CDAB""}",Runtime duration,R,
71.b0,autoteststart,AutoTestStart,,4bit,,,0 - not started 1-Activated 1 - started,R,
71.b4,ubautoteststatus,UbAutoTestStatus,,4bit,0-5,,0-waiting 1-testing 2-test fail 3-V test OK 4-F test OK 5- test pass,R,
71.b8,ubautoteststep,UbAutoTestStep,,4bit,0-8,,1-V1L test 2-V1H 3-F1L test 4-F1H test 5-V2L test 6-V2H test 7-F2L test 8-F2H test,R,
72,wautotestlimit,wAutoTestLimit,0.1V/0.01Hz,,,,"When ubAuto Test Step=1,2,5,6, is the voltage limit; When ubAutoTest Step=3,4,7,8, it is the frequency limit",R,
73,uwautotestdefault_time,uwAutoTestDefault_Time,ms,,,,,R,
74,uwautotesttripvalue,uwAutoTestTripValue,0.1V/0.01Hz,,,,"When ubAuto Test Step=1,2,5,6, is the voltage limit; When ubAutoTestStep=3,4,7,8, it is the frequency limit",R,
75,uwautotesttriptime,uwAutoTestTripTime,ms,,,,,R,
77.b2,accoupleen,ACCoupleEn,,1bit,0 or 1,,0-Disable 1-Enable,R,
77.b1,accoupleinverterflow,ACCoupleInverterFlow,,1bit,0 or 1,,0-no flow 1-show flow,R,
77.b0,acinputtype,ACInputType,,1bit,0 or 1,,0-Grid 1-Generator for 18KPV,R,
78,register_78,Register 78,,ushort,0-65535,,Unknown Adjacent to battery configuration registers. Battery communication enabled?,R,
79,register_79,Register 79,,ushort,0-65535,,Unknown Battery CAN/RS485 mode selector?,R,
80.b4,batcomtype,BatComType,,4bit,0 or 1,,0-CAN 1-485,R,
80.b0,battypeandbrand,BatTypeAndBrand,,4bit,,,For more information,R,
81,maxchgcurr,MaxChgCurr,0.1A,,,,The maximum charging current of BMS limits,R,
82,maxdischgcurr,MaxDischgCurr,0.1A,,,,The maximum discharging current of BMS limits,R,
83,chargevoltrefi,ChargeVoltRefI,0.1V,,500-590,,Recommended charging voltage by BMS equating to 50.0V-59.0v. This register acts as a monitor,R,
84,dischgcutvolt,DischgCutVolt,0.1V,,440-480,,Minimum voltage 44-48v level at which the inverter stops drawing power from the connected battery bank,R,
85,batstatus0_bms,BatStatus0_BMS,,,,,Status information of BMS,R,
86,batstatus1_bms,BatStatus1_BMS,,,,,Status information of BMS,R,
87,batstatus2_bms,BatStatus2_BMS,,,,,Status information of BMS,R,
88,batstatus3_bms,BatStatus3_BMS,,,,,Status information of BMS,R,
89,batstatus4_bms,BatStatus4_BMS,,,,,Status information of BMS,R,
90,batstatus5_bms,BatStatus5_BMS,,,,,Status information of BMS,R,
91,batstatus6_bms,BatStatus6_BMS,,,,,Status information of BMS,R,
92,batstatus7_bms,BatStatus7_BMS,,,,,Status information of BMS,R,
93,batstatus8_bms,BatStatus8_BMS,,,,,Status information of BMS,R,
94,batstatus9_bms,BatStatus9_BMS,,,,,Status information of BMS,R,
95,batstatus_inv,BatStatus_INV,,,,,The inverter aggregates lithium battery status information,R,
96,batparallelnum,BatParallelNum,,,,,Number of batteries in parallel,R,
97,batcapacity,BatCapacity,Ah,,,,Battery capacity,R,
98,batcurrent_bms,BatCurrent_BMS,0.01A,SHORT,,,Battery current,R,
99,faultcode_bms,FaultCode_BMS,,,,,Reports the active error status transmitted from the Battery Management System (BMS) to the inverter,R,
100,warningcode_bms,WarningCode_BMS,,,,,Reports non-critical alerts while the FaultCode indicates a system-stopping error,R,
101,maxcellvolt_bms,MaxCellVolt_BMS,0.001V,,,,Maximum voltage of cell,R,
102,mincellvolt_bms,MinCellVolt_BMS,0.001V,,,,Minimum voltage of cell,R,
103,maxcelltemp_bms,MaxCellTemp_BMS,0.1C,SHORT,,,Maximum temperature of cell,R,
104,mincelltemp_bms,MinCellTemp_BMS,0.1C,SHORT,,,Minimum temperature of cell,R,
105,bmsfwupdatestate,BMSFWUpdateState,,,,,1-Upgrade in process 2-Upgrade successful 3- Upgrade failed,R,
106,cyclecnt_bms,CycleCnt_BMS,,,,,Number of charging/discharging cycles,R,
107,batvoltsample_inv,BatVoltSample_INV,0.1V,,,,Inverter samples the battery voltage,R,
108,t1,T1,0.1C,,,,BT temperature for 18k,R,
109,t2,T2,0.1C,,,,Reserved,R,
110,t3,T3,0.1C,,,,Reserved,R,
111,t4,T4,0.1C,,,,Reserved,R,
112,t5,T5,0.1C,,,,Reserved,R,
113.b0,masterorslave,MasterOrSlave,,2bit,,,Inverter is a master or slave.,R,
113.b8,parallelnum,ParallelNum,,8bit,1-255,,Number of inverters in parallel,R,
113.b4,resvd,Resvd,Bit4~7,4bit,,,Reserved,R,
113.b2,singleorthreephase,SingleOrThreePhase,,2bit,,,1:R 2:S  3:T Parallel phase 1:R 2:S 3:T,R,
114,ongridloadpower,OnGridloadPower,W,,,,Load power of the 18k inverter when it is not off-grid,R,
115~119,serial_number,Serial_Number,,ASCII,,,Serial Number as one string instead of split,R,
