register,variable_name,documented_name,unit,data_type,values,adjustments,note,writable,read_interval
0,pack_voltage,pack_voltage,0.01V,USHORT,,,Pack voltage. PDF: 10 mV/LSB = 0.01 V. Verified: u16(offset 3)/100.,R,
1,pack_current,pack_current,0.01A,SHORT,,,Pack current. PDF: 10 mA/LSB = 0.01 A. Positive=charging Negative=discharging. Verified: s16(offset 5)/100.,R,
10,cell_09_voltage,cell_09_voltage,0.001V,USHORT,0-65535,,Cell 9 voltage.,R,
100,discharge_ot_protect,discharge_ot_protect,1C,SHORT,,"{""Offset"":-50}",Discharge overtemperature PROTECTION.  offset 113-115. offset: raw-50=degC.,W,
101,discharge_ot_release,discharge_ot_release,1C,SHORT,,"{""Offset"":-50}",Discharge overtemperature RELEASE.  offset 115-117. offset: raw-50=degC.,W,
102,pcb_ot_warn,pcb_ot_warn,1C,SHORT,,"{""Offset"":-50}",PCB/MOSFET overtemperature WARNING.  offset 117-119. offset: raw-50=degC.,W,
103,pcb_ot_protect,pcb_ot_protect,1C,SHORT,,"{""Offset"":-50}",PCB/MOSFET overtemperature PROTECTION.  offset 119-121. offset: raw-50=degC.,W,
104,pcb_ot_release,pcb_ot_release,1C,SHORT,,"{""Offset"":-50}",PCB/MOSFET overtemperature RELEASE.  offset 121-123. offset: raw-50=degC.,W,
105-116,model,model,,ASCII,,,Product model number.  result[2:25] -> regs 105-116. 24-byte ASCII string.,R,3600
11,cell_10_voltage,cell_10_voltage,0.001V,USHORT,0-65535,,Cell 10 voltage.,R,
117-119,fw_version,fw_version,,ASCII,,,BMS firmware version.  result[27:33] -> regs 117-119. 6-byte ASCII string e.g. V03R04.,R,3600
12,cell_11_voltage,cell_11_voltage,0.001V,USHORT,0-65535,,Cell 11 voltage.,R,
120-127,serial_no,serial_no,,ASCII,,,Product serial number.  result[33:48] -> regs 120-127. 16-byte ASCII string. RW per PDF.,R,3600
13,cell_12_voltage,cell_12_voltage,0.001V,USHORT,0-65535,,Cell 12 voltage.,R,
14,cell_13_voltage,cell_13_voltage,0.001V,USHORT,0-65535,,Cell 13 voltage.,R,
15,cell_14_voltage,cell_14_voltage,0.001V,USHORT,0-65535,,Cell 14 voltage.,R,
16,cell_15_voltage,cell_15_voltage,0.001V,USHORT,0-65535,,Cell 15 voltage.,R,
17,cell_16_voltage,cell_16_voltage,0.001V,USHORT,0-65535,,Cell 16 voltage.,R,
18,temp_pcb,temp_pcb,1C,SHORT,,,PCB/MOSFET temperature. PDF: Temp of PCB SHORT degC. Verified:  s16(offset 39) -> reg 18.,R,
