register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0,,State,,,0-65535,,R,,see operating mode definition table
1,,Vpv1,0.1V,,0-65535,,R,,PV1 voltage
2,,Vpv2,0.1V,,0-65535,,R,,PV2 voltage
3,,Vpv3,0.1V,,0-65535,,R,,PV3 voltage
4,,Vbat,0.1V,,0-65535,,R,,Battery voltage
5.b0,,SOC,%,8bit,0-100,,R,,Battery capacity
5.b8,,SOH,%,8bit,0-100,,R,,Battery State of health
6,,InternalFault,,,0-1,,R,,Internal Fault
7,,Ppv1,W,,0-65535,,R,,PV1 power
8,,Ppv2,W,,0-65535,,R,,PV2 power
9,,Ppv3,W,,0-65535,,R,,PV3 power
10,,Pcharge,W,,0-65535,,R,,Charging power (power flowing into the battery)
11,,Pdischarge,W,,0-65535,,R,,Discharging power (power flowing out of battery)
12,,VacR,0.1V,,0-65535,,R,,R-phase utility three phase grid voltage
13,,VacS,0.1V,,0-65535,,R,,S-phase utility three phase grid voltage
14,,VacT,0.1V,,0-65535,,R,,T-phase utility three phase grid voltage
15,,Fac,0.01Hz,,0-65535,,R,,Utility grid frequency
16,,Pinv,W,,0-65535,,R,,On-gird inverter power (For three phase: R phase)
17,,Prec,W,,0-65535,,R,,AC charging rectification power (For three phase: R phase)
18,,IinvRMS,0.01A,,0-65535,,R,,Inverter rms current output (For three phase: R phase)
19,,PF,,,0-2000,,R,"{""High_Low"":""x?(0,1000]->x/1000 x?(1000,2000)->(1000-x)/1000""}"," Power factor for single phase or R phase of three phase"
20,,VepsR,0.1V,,0-65535,,R,,R phase off-grid three phase output voltage
21,,VepsS,0.1V,,0-65535,,R,,S phase off-grid three phase output voltage
22,,VepsT,0.1V,,0-65535,,R,,T phase off-grid three phase output voltage
23,,Feps,0.01Hz,,0-65535,,R,,Off-grid output frequency
24,,Peps,W,,0-65535,,R,,Off-grid inverter power (For three phase: R phase)
25,,Seps,VA,,0-65535,,R,,Off-grid apparent power (For three phase: R phase)
26,,Ptogrid,W,,0-65535,,R,,Real time rate system export power to grid ( or for three phase: R phase)
27,,Ptouser,W,,0-65535,,R,,Real time rate system import power from the Grid (or for three phase: R phase)
28,,Epv1_day,0.1kWh,,0-65535,,R,,PV1 power generation today / AC Energy Storage Epv_day
29,,Epv2_day,0.1kWh,,0-65535,,R,,PV2 power generation today
30,,Epv3_day,0.1kWh,,0-65535,,R,,PV3 power generation today (total PV=PV1+PV2+PV3)
31,,Einv_day,0.1kWh,,0-65535,,R,,Today's on-grid inverter output energy
32,,Erec_day,0.1kWh,,0-65535,,R,,Today's AC charging rectifier energy
33,,Echg_day,0.1kWh,,0-65535,,R,,Energy Charge today
34,,Edischg_day,0.1kWh,,0-65535,,R,,Energy Discharge today
35,,Eeps_day,0.1kWh,,0-65535,,R,,Today's off-grid output energy
36,,Etogrid_day,0.1kWh,,0-65535,,R,,Today's export to grid energy
37,,Etouser_day,0.1kWh,,0-65535,,R,,Electricity supplied to user from the grid today
38,,Vbus1,0.1V,,0-65535,,R,,Voltage of Bus 1
39,,Vbus2,0.1V,,0-65535,,R,,Voltage of Bus 2
40,,Epv1_all_l,1kWh,,0-65535,,R,"{""Register_Endian"": ""little_endian-CDAB""}",PV1 cumulative power generation/AC energy storage Epv_all Low byte
41,,Epv1_all_h,1kWh,,0-65535,,R,,PV1 cumulative power generation/AC energy storage Epv_all high byte
42,,Epv2_all_l,1kWh,,0-65535,,R,"{""Register_Endian"": ""little_endian-CDAB""}",PV2 cumulative power generation low byte
43,,Epv2_all_h,1kWh,,0-65535,,R,,PV2 cumulative power generation high byte
44,,Epv3_all_l,1kWh,,0-65535,,R,"{""Register_Endian"": ""little_endian-CDAB""}",PV3 cumulative power generation low byte (total PV=PV1+PV2+PV3)
45,,Epv3_all_h,1kWh,,0-65535,,R,,PV3 cumulative power generation high byte (total PV=PV1+PV2+PV3)
46,,Einv_all_l,1kWh,,0-65535,,R,"{""Register_Endian"": ""little_endian-CDAB""}",Inverter output accumulated power low byte
47,,Einv_all_h,1kWh,,0-65535,,R,,Inverter output accumulates power high byte
48,,Erec_all_l,1kWh,,0-65535,,R,"{""Register_Endian"": ""little_endian-CDAB""}",AC charging accumulates rectified power Low byte
49,,Erec_all_h,1kWh,,0-65535,,R,,AC charging accumulates rectified power high byte
50,,Echg_all_l,1kWh,,0-65535,,R,"{""Register_Endian"": ""little_endian-CDAB""}",Cumulative charge energy low byte
51,,Echg_all_h,1kWh,,0-65535,,R,,Cumulative charge energy high byte
52,,Edischg_all_l,1kWh,,0-65535,,R,"{""Register_Endian"": ""little_endian-CDAB""}",Cumulative discharge charge energy Low byte
53,,Edischg_all_h,1kWh,,0-65535,,R,,Cumulative discharge charge energy High byte
