register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
40001,sunspec_id,SunSpec ID,,uint32,,,R,,"Fixed 0x53756E53 (""SunS""); confirms SunSpec compliance; spans 40001-40002"
40003,sunspec_did,Common Block DID,,uint16,1,,R,,Fixed value 1; identifies common model block
40004,common_length,Common Block Length,,uint16,,,R,,Fixed 65 (registers in common block)
40005,manufacturer,Manufacturer,,string32,,,R,,"Fixed ""Enphase Energy""; 16 registers (32 chars ASCII)"
40021,model,Gateway Model,,string32,,,R,,IQ Gateway model identifier string
40045,options,Options,,string16,,,R,,Options/feature flags ASCII string
40053,version,Firmware Version,,string16,,,R,,Current gateway firmware version ASCII
40061,serial_number,Serial Number,,string32,,,R,,IQ Gateway serial number ASCII (16 registers)
40069,device_address,Modbus Device Address,,uint16,1,,R,,Modbus unit ID (fixed 1 on IQ Gateway)
# ─── SunSpec Inverter Model (Aggregate Production) — Model 103 ─────────────,,,,,,,,,
40070,inverter_did,Inverter Model DID,,uint16,"101=single-phase,103=three-phase",,R,,SunSpec inverter model; 103 for three-phase gateway; 101 for single-phase
40071,inverter_length,Inverter Block Length,,uint16,,,R,,Number of registers in inverter block
40072,ac_current_total,AC Current Total,A×SF,int16,,,R,,Total AC output current; apply I_SF (40076) to get amperes
40073,ac_current_a,AC Phase A Current,A×SF,int16,,,R,,Phase A aggregate current; apply I_SF
40074,ac_current_b,AC Phase B Current,A×SF,int16,,,R,,Phase B aggregate current; apply I_SF (N/A single-phase)
40075,ac_current_c,AC Phase C Current,A×SF,int16,,,R,,Phase C aggregate current; apply I_SF (three-phase only)
40076,ac_current_sf,Current Scale Factor,,int16,-10-10,,R,,Scale factor for all current registers; actual A = raw × 10^SF
40077,ac_voltage_ab,AC Voltage Phase A-B,V×SF,uint16,,,R,,Line-to-line voltage A-B; apply V_SF (40083)
40078,ac_voltage_bc,AC Voltage Phase B-C,V×SF,uint16,,,R,,Line-to-line voltage B-C; apply V_SF (three-phase only)
40079,ac_voltage_ca,AC Voltage Phase C-A,V×SF,uint16,,,R,,Line-to-line voltage C-A; apply V_SF (three-phase only)
40080,ac_voltage_an,AC Voltage Phase A-N,V×SF,uint16,,,R,,Phase A to neutral voltage; apply V_SF
40081,ac_voltage_bn,AC Voltage Phase B-N,V×SF,uint16,,,R,,Phase B to neutral; apply V_SF (N/A single-phase)
40082,ac_voltage_cn,AC Voltage Phase C-N,V×SF,uint16,,,R,,Phase C to neutral; apply V_SF (three-phase only)
40083,ac_voltage_sf,Voltage Scale Factor,,int16,-10-10,,R,,Scale factor for all AC voltage registers
40084,ac_power,AC Active Power,W×SF,int16,-32767-32767,,R,,Total aggregate AC power from all microinverters; apply W_SF (40085)
40085,ac_power_sf,Power Scale Factor,,int16,-10-10,,R,,Scale factor for AC power; actual W = raw × 10^SF
40086,ac_frequency,AC Frequency,Hz×SF,uint16,,,R,,Grid frequency; apply Hz_SF (40087)
40087,ac_frequency_sf,Frequency Scale Factor,,int16,-10-10,,R,,Scale factor for frequency
40088,ac_apparent_power,AC Apparent Power,VA×SF,int16,,,R,,Aggregate apparent power; apply VA_SF (40089)
40089,ac_apparent_power_sf,Apparent Power Scale Factor,,int16,-10-10,,R,,Scale factor for apparent power
40090,ac_reactive_power,AC Reactive Power,VAr×SF,int16,,,R,,Aggregate reactive power; apply VAr_SF (40091)
40091,ac_reactive_power_sf,Reactive Power Scale Factor,,int16,-10-10,,R,,Scale factor for reactive power
40092,ac_power_factor,Power Factor,%×SF,int16,-100-100,,R,,Aggregate power factor; apply PF_SF (40093)
40093,ac_power_factor_sf,Power Factor Scale Factor,,int16,-10-10,,R,,Scale factor for power factor
40094,ac_energy_total,AC Lifetime Energy,Wh,acc32,,,R,,Cumulative AC energy from all microinverters (Wh); 32-bit accumulator; spans 40094-40095
40096,ac_energy_sf,Energy Scale Factor,,uint16,-10-10,,R,,Scale factor for energy registers
40097,dc_current,DC Current,A×SF,uint16,,,R,,Aggregate DC input current (not implemented on IQ Gateway — use 0xFFFF NaN check)
40098,dc_current_sf,DC Current Scale Factor,,int16,-10-10,,R,,Scale factor for DC current
40099,dc_voltage,DC Voltage,V×SF,uint16,,,R,,Aggregate DC voltage (not implemented — NaN)
40100,dc_voltage_sf,DC Voltage Scale Factor,,int16,-10-10,,R,,Scale factor for DC voltage
40101,dc_power,DC Power,W×SF,int16,,,R,,Aggregate DC power input from all panels (not implemented on IQ Gateway)
40102,dc_power_sf,DC Power Scale Factor,,int16,-10-10,,R,,Scale factor for DC power
40103,inverter_temperature,Inverter Temperature,°C×SF,int16,,,R,,Not implemented on IQ Gateway (NaN)
40106,operating_state,Operating State,,uint16,"1=off,2=sleeping,3=waking,4=MPPT,5=throttled,6=shutting down,7=fault,8=standby",,R,,Aggregate system operating state
40107,vendor_state,Vendor Operating State,,uint16,,,R,,Enphase-specific operating state code
40108,alarm_1,Event Flags 1,,uint32,,,R,,Alarm bitmask word 1; 40108-40109
40110,alarm_2,Event Flags 2,,uint32,,,R,,Alarm bitmask word 2; 40110-40111
# ─── SunSpec Meter Model — Production CT (Model 201 or 203) ──────────────────,,,,,,,,,
# Note: meter model start address is dynamic; scan from 40002 to find model ID 201/203,,,,,,,,,
# Below addresses assume meter model immediately follows inverter block (typical layout),,,,,,,,,
# Verify actual start address by reading model chain; apply SF registers for all values,,,,,,,,,
40121,meter_did,Meter Model DID,,uint16,"201=single-phase,203=three-phase",,R,,SunSpec meter model ID; 201=single-phase CT 203=three-phase CT
40123,meter_ac_current,Meter AC Current Total,A×SF,int16,,,R,,Production CT total current; apply meter I_SF
40127,meter_ac_voltage_an,Meter Voltage Phase A-N,V×SF,int16,,,R,,Production CT voltage phase A; apply meter V_SF
40128,meter_ac_voltage_bn,Meter Voltage Phase B-N,V×SF,int16,,,R,,Production CT voltage phase B
40129,meter_ac_voltage_cn,Meter Voltage Phase C-N,V×SF,int16,,,R,,Production CT voltage phase C
40131,meter_ac_power,Meter AC Active Power,W×SF,int16,-32767-32767,,R,,Production power at CT; positive=generating; apply meter W_SF
40135,meter_ac_frequency,Meter Frequency,Hz×SF,int16,,,R,,Frequency at production CT
40137,meter_apparent_power,Meter Apparent Power,VA×SF,int16,,,R,,Apparent power at production CT
40139,meter_reactive_power,Meter Reactive Power,VAr×SF,int16,,,R,,Reactive power at production CT
40141,meter_power_factor,Meter Power Factor,%×SF,int16,,,R,,Power factor at production CT
40143,meter_energy_export,Energy Exported,Wh,acc32,,,R,,Cumulative energy sent to grid; 32-bit; spans 40143-40144
40153,meter_energy_import,Energy Imported,Wh,acc32,,,R,,Cumulative energy drawn from grid; 32-bit
# ─── SunSpec DER Management Model 704 (Power Limit — IQ Gateway control) ─────,,,,,,,,,
# Model 704 enables external Modbus write control of aggregate PV output power,,,,,,,,,
# Available on IQ Gateway firmware supporting SunSpec DIM 700 series,,,,,,,,,
# Verify presence by scanning SunSpec model chain for DID 704,,,,,,,,,
704,der_control_did,DER Control Model DID,,uint16,704,,R,,SunSpec DIM 704 DER management model; confirms write-control availability
706,der_power_limit_pct,PV Power Limit Setpoint,0.01%,uint16,0-10000,,R/W,,Maximum allowed PV output as percent of rated; divide by 100; 10000=100%
707,der_power_limit_enabled,PV Power Limit Enable,,uint16,"0=disabled,1=enabled",,R/W,,Enable active power limiting via Modbus; write 1 to activate
,,,,,,,,,
# Enphase IQ Gateway (ENV-IQ-AM1-240 / ENV2-IQ-AM1-240 / ENV-IQ-AM3-3P),,,,,,,,,
# Interface: Modbus TCP port 502; unit ID 1 (default),,,,,,,,,
# Enable: Installer App → Site Communication → Enable Modbus TCP,,,,,,,,,
# Protocol: SunSpec — IQ Gateway implements SunSpec models 1 (common) and 103 (three-phase inverter),,,,,,,,,
#   for aggregate site production. Consumption metering available via meter model 211/213.,,,,,,,,,
# IMPORTANT: IQ Gateway does NOT expose per-microinverter Modbus registers,,,,,,,,,
#   Aggregate production data only. Individual microinverter data requires Envoy Local API or VRM cloud.,,,,,,,,,
# SunSpec header starts at register 40001 (base 1) = address 40000 (base 0),,,,,,,,,
# Scale Factor (SF) registers: int16; apply as value × 10^SF_register to get engineering units,,,,,,,,,
# NaN values: int16 = 0x8000; uint16 = 0xFFFF; acc32 = 0xFFFFFFFF,,,,,,,,,
# Only SunSpec DIM 700 range (DER management) is supported for Modbus control writes,,,,,,,,,
# ─── SunSpec Common Model Block (Model 1) ────────────────────────────────────,,,,,,,,,
