register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0,,OnOff,1,,0,,W,,Remote On/Off . On(1);Of(f 0)Inverter On(3);Off(2)BDC; Initial value: 2; 3; extra: 1; extra: The inverter can be switched on and off; extra: and the BDC can be switched on and off for the batt ready function.
1,,SaftyFuncEn,,,0 :Disable1: enable,,W,,Bit0: SPI enable Bit1: AutoTestStart Bit2: LVFRT enable Bit3:FreqDerating Enable Bit4: Softstart enable Bit5: DRMS enable Bit6:PowerVoltFunc Enable Bit7: HVFRT enable Bit8:ROCOF enable Bit9: Recover FreqDeratingMode Enable Bit10:Split phase enable Bit10~15:??; SPI: systemprotectioninterfaceBit0~3:for CEI0-21Bit4~6:for SAA
2,,PF CMDmemoryState,99 CMD will be memory or not(1/0),,5,,4,,Set Holding register3; Initial value: if not; these settings are the initial value.; extra: W; extra: 0or1; extra: 0; extra: Means these settings will beacting or not whennextpower on
3,,Active P Rate,%,,0-100 or 255,,W,,Inverter Max output active power percent; Initial value: 255; 255: power is not be limited
4,,Reactive P Rate,%,,-100-100 or 255,,W,,Inverter max output reactive power percent; Initial value: 255; 255: power is not be limited
5,,Power factor,0-10000isunderexcited,,0-20000,,W,,Inverter output powerfactor's 10000 times; Initial value: otherisoverexcitEd; extra: 0
6,,Pmax H,0.1VA,,,,,,Normal power (high)
7,,Pmax L,0.1VA,,,,,,Normal power (low)
8,,Vnormal,0.1V,,,,,,Normal work PV voltage
9,,Fw version H,ASCII,,,,,,Firmware version (high)
10,,Fw version M,,,,,,,Firmware version (middle)
11,,Fw version L,,,,,,,Firmware version (low)
12,,Fw version2 H,ASCII,,,,,,Control Firmware version (high)
13,,Fw version2 M,,,,,,,Control Firmware version (middle)
14,,Fw version2 L,,,,,,,Control Firmware version (low)
15,,LCD language,,,0-5,,W,,LCD language; 0: Italian; 1: English; 2: German; 3: Spanish; 4: French; 5: Chinese; 6:Polish 7:Portugues 8:Hungary
16,,CountrySele cted,,,0: need to select; 1: have selected,,W,,Country Selected or not
17,,Vpv start,0.1V,,,,W,,Input start voltage
18,,Time start,1s,,,,W,,Start time
19,,RestartDelay Time,1s,,,,W,,Restart Delay Time after fault back;
20,,wPowerStart Slope,0.10%,,01/01/00,,W,,Power start slope
21,,wPowerRest artSlopeEE,0.10%,,01/01/00,,W,,Power restart slope
22,,wSelectBaud rate,,,0-1,,W,,Select communicationbaudrat e 0: 9600bps 1:38400bps; Initial value: 0
23,,Serial NO 1,ASCII,,,,,,Serial number 1-2
24,,Serial NO 2,,,,,,,Serial number 3-4
25,,Serial NO 3,,,,,,,Serial number 5-6
26,,Serial NO 4,,,,,,,Serial number 7-8
27,,Serial NO 5,,,,,,,Serial number 9-10
28,,Module H,,,&*5,,,,Inverter Module (high)
29,,Module L,,,&*5,,,,Inverter Module (low)
30,,Com Address,,,01/01/54,,W,,Communicate address; Initial value: 1
31,,FlashStart,,,1,,W,,Update firmware
32,,Reset User Info,,,0x0001,,W,,Reset User Information
33,,Reset to factory,,,0x0001,,W,,Reset to factory
34,,Manufacturer Info 8,ASCII,,,,,,Manufacturer information (high)
35,,Manufacturer Info 7,,,,,,,Manufacturer information (middle)
36,,Manufacturer Info 6,,,,,,,Manufacturer information (low)
37,,Manufacturer Info 5,,,,,,,Manufacturer information (high)
38,,Manufacturer Info 4,,,,,,,Manufacturer information (middle)
39,,Manufacturer Info3,,,,,,,Manufacturer information (low)
40,,Manufacturer Info 2,,,,,,,Manufacturer information (low)
41,,Manufacturer Info 1,,,,,,,Manufacturer information (high)
42,,bfailsafeEn,,,Enable:1 Disable:0,,W,,G100 fail safe; English G100 fail safe set
43,,DTC,,,&*6,,,,Device Type Code
