register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0,,Inverter Status,,,0:waiting 1:normal 3:fault,,,,Inverter run state
1,PV Watts,Ppv H,0.1W,,,,,,Input power (high)
2,,Ppv L,0.1W,,,,,,Input power (low)
3,PV1 Voltage,Vpv1,0.1V,,,,,,PV1 voltage
4,PV1 Current,PV1Curr,0.1A,,,,,,PV1 input current
5,PV1 Watts,Ppv1 H,0.1W,,,,,,PV1 input power(high)
6,,Ppv1 L,0.1W,,,,,,PV1 input power(low)
7,PV2 Voltage,Vpv2,0.1V,,,,,,PV2 voltage
8,PV2 Current,PV2Curr,0.1A,,,,,,PV2 input current
9,PV2 Watts,Ppv2 H,0.1W,,,,,,PV2 input power (high)
10,,Ppv2 L,0.1W,,,,,,PV2 input power (low)
11,PV3 Voltage,Vpv3,0.1V,,,,,,PV3 voltage
12,PV3 Current,PV3Curr,0.1A,,,,,,PV3 input current
13,PV3 Watts,Ppv3 H,0.1W,,,,,,PV3 input power (high)
14,,Ppv3 L,0.1W,,,,,,PV3 input power (low)
15,PV4 Voltage,Vpv4,0.1V,,,,,,PV4 voltage
16,PV4 Current,PV4Curr,0.1A,,,,,,PV4 input current
17,PV4 Watts,Ppv4 H,0.1W,,,,,,PV4 input power (high)
18,,Ppv4 L,0.1W,,,,,,PV4 input power (low)
19,PV5 Voltage,Vpv5,0.1V,,,,,,PV5 voltage
20,PV5 Current,PV5Curr,0.1A,,,,,,PV5 input current
21,PV5 Watts,Ppv5H,0.1W,,,,,,PV5 input power(high)
22,,Ppv5 L,0.1W,,,,,,PV5 input power(low)
23,PV6 Voltage,Vpv6,0.1V,,,,,,PV6 voltage
24,PV6 Current,PV6Curr,0.1A,,,,,,PV6 input current
25,PV6 Watts,Ppv6 H,0.1W,,,,,,PV6 input power (high)
26,,Ppv6 L,0.1W,,,,,,PV6 input power (low)
27,PV7 Voltage,Vpv7,0.1V,,,,,,PV7 voltage
28,PV7 Current,PV7Curr,0.1A,,,,,,PV7 input current
29,PV7 Watts,Ppv7 H,0.1W,,,,,,PV7 input power (high)
