register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
314.2,Full Charge Capacity,Gauge FCC,0.01AH,USHORT,,,,,
314.4,Cell Voltage Difference,Delta V,1mV,USHORT,,,,,
314.6,,Cycle Count,,,,,,,
x311,,Battery charge voltage,0.1V,USHORT,41~63,,,,
X311.2,,Charge current limit,0.1A,USHORT,,,,,
X311.4,,Discharge current limit,0.1A,USHORT,,,,,
X311.6,,Status,,2BIT,"{""b0"": ""charging"", ""b1"" : ""stand by"", ""b0&b1"" : ""discharging""}",,,,todo bit flags; they are a bit weird
x312,,Protection Flags,,16BIT_FLAGS,"{""b15"": ""OTD (Over Temperature Discharge) protection"", ""b14"": ""OTC (Over Temperature Charge) protection"", ""b13"": ""UTD (Under Temperature Discharge) protection"", ""b12"": ""UTC (Under Temperature Charge) protection"", ""b11"": ""System error"", ""b10"": ""Delta V Fail"", ""b7"": ""DisCharge over current"", ""b6"": ""Charge over current"", ""b5"": ""SCD (Short Circuit Discharge) protection"", ""b4"": ""Cell over voltage"", ""b3"": ""Cell under voltage"", ""b2"": ""Module over voltage"", ""b1"": ""Module under voltage"", ""b0"": ""Soft start fail""}",,,,
X312.2,,Alarm Flags,,16BIT_FLAGS,"{""b7"": ""DisCharge over current"", ""b6"": ""Charge over current"", ""b5"": ""Cell over voltage"", ""b4"": ""Cell under voltage"", ""b3"": ""Module over voltage"", ""b2"": ""Module under voltage"", ""b1"": """", ""b0"": """", ""b15"": ""OTD (Over Temperature Discharge) protection"", ""b14"": ""OTC (Over Temperature Charge) protection"", ""b13"": ""UTD (Under Temperature Discharge) protection"", ""b12"": ""UTC (Under Temperature Charge) protection"", ""b11"": ""Delta V Fail"", ""b10"": ""Pack before turn off"", ""b9"": ""Internal communication fail"", ""b8"": """"}",,,,
x313,Battery Voltage,Average module voltage of system,0.01V,SHORT,,,,,
X313.2,,Total current of system,0.1A,SHORT,,,,,
X313.4,,Maximum cell temperature,0.1A,SHORT,,,,,
X313.6,,Average State of Charge of System,%,BYTE,,,,,
X313.7,,State of Health Flags,,8BIT_FLAGS,,,,,
x314,Remaining Capacity,Gauge RM,0.01AH,USHORT,,,,,
x315,,Cell Voltage 1,1mV,USHORT,,,,,
X315.2,,Cell Voltage 2,1mV,USHORT,,,,,
X315.4,,Cell Voltage 3,1mV,USHORT,,,,,
X315.6,,Cell Voltage 4,1mV,USHORT,,,,,
x316,,Cell Voltage 5,1mV,USHORT,,,,,
x316.2,,Cell Voltage 6,1mV,USHORT,,,,,
x316.4,,Cell Voltage 7,1mV,USHORT,,,,,
x316.6,,Cell Voltage 8,1mV,USHORT,,,,,
x317,,Cell Voltage 9,1mV,USHORT,,,,,
x317.2,,Cell Voltage 10,1mV,USHORT,,,,,
x317.4,,Cell Voltage 11,1mV,USHORT,,,,,
x317.6,,Cell Voltage 12,1mV,USHORT,,,,,
x318,,Cell Voltage 13,1mV,USHORT,,,,,
x318.2,,Cell Voltage 14,1mV,USHORT,,,,,
x318.4,,Cell Voltage 15,1mV,USHORT,,,,,
x318.6,,Cell Voltage 16,1mV,USHORT,,,,,
x319,,Request And Battery Type,,8BIT_FLAGS,"{""b7"": ""Charge enable"", ""b6"": ""Discharge enable"", ""b5"": ""Request force charge I* (Strong charge mark 1)"", ""b4"": ""Request force charge II* (Strong charge mark 2)"", ""b3"": ""00: Lithium Iron Phosphate (LiFePO4) battery"", ""b2"": ""01: Nickel Cobalt Manganese (NCM) battery"", ""b1"": ""10: Lithium Titanate (LTO) battery"", ""b0"": ""11: Reserved""}",,,,
X319.1,,Maximum cell voltage,1mV,USHORT,,,,,
X319.3,,Minimum cell voltage,1mV,USHORT,,,,,
X319.5,,Maximum cell voltage number,,BYTE,,,,,
X319.6,,Minimum cell voltage number,,BYTE,,,,,
X319.7,,Protect pack ID,,BYTE,,,,,
x320,,Manufacturer Name,,ASCII.2,,,,,
X320.2,,Hardware version,,ASCII.1,,,,,
X320.3,,Software version,,ASCII.1,,,,,
X320.4,,Date and Time 1,,,,,,,"todo bit flags, another weird setup"
X320.5,,Date and Time 2,,,,,,,
X320.6,,Date and Time 3,,,,,,,
X320.7,,Date and Time 4,,,,,,,
x321,,Update status,,8BIT_FLAGS,,,,,
X321.1,,Update schedule of single pack,,BYTE,0~100,,,,
X321.2,,programming ID of pack,,BYTE,,,,,
X321.3,,Update Successful count,,BYTE,,,,,
