register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0,,System Status,1,,{{system_status_codes}},,,,System run state; PV     an     Grid Combine Discharge2: Discharge; extra: 3: Fault; extra: 4: Flash; extra: 5: PV charge; extra: 6: AC charge; extra: 7: Combine charge; extra: 8:    Combine    charge and Bypass; extra: 9:    PV    charge    and Bypass; extra: 10:    AC    charge    and Bypass; extra: 11: Bypass; extra: 12:    PV    charge    andDischarge
1,PV1 Voltage,Vpv1,0.1V,,,,,,PV1 voltage
2,PV2 Voltage,Vpv2,0.1V,,,,,,PV2 voltage
3,PV1 Watts,Ppv1 H,0.1W,,,,,,PV1 charge power (high)
4,,Ppv1 L,0.1W,,,,,,PV1 charge power (low)
5,PV2 Watts,Ppv2 H,0.1W,,,,,,PV2 charge power (high)
6,,Ppv2 L,0.1W,,,,,,PV2 charge power (low)
7,Buck1 Current,Buck1Curr,0.1A,,,,,,Buck1 current
8,Buck2 Current,Buck2Curr,0.1A,,,,,,Buck2 current
9,Output Wattage,OP_Watt H,0.1W,,,,,,Output active power (high)
10,,OP_Watt L,0.1W,,,,,,Output active power (low)
11,Output VA,OP_VA H,0.1VA,,,,,,Output apparent power (high)
12,,OP_VA L,0.1VA,,,,,,Output apparent power (low)
13,AC Charge Watts,ACChr_Watt H,0.1W,,,,,,AC charge watt (high)
14,,ACChr_Watt L,0.1W,,,,,,AC charge watt (low)
15,AC Charge VA,ACChr_VA H,0.1VA,,,,,,AC   charge    apparent   power (high)
16,,ACChr_VA L,0.1VA,,,,,,AC   charge    apparent   power (low)
17,Battery Voltage,Bat Volt,0.01V,,,,,,Battery volt (M3)
18,Battery SOC,BatterySOC,1.00%,,0~100,,,,Battery SOC
19,Bus Voltage,Bus Volt,0.1V,,,,,,Bus Voltage
20,Grid Voltage,Grid Volt,0.1V,,,,,,AC input Volt
21,Grid Hz,Line Freq,0.01Hz,,,,,,AC input frequency
22.b0,Output Voltage,OutputVolt,0.1V,16bit,,,,,AC output Volt
23,Output Hz,OutputFreq,0.01Hz,,,,,,AC output frequency
24,Output DCV,Ouput DCV,0.1V,,,,,,Ouput DC Volt
25,,InvTemp,0.1C,,,,,,Inv Temperature
26,,DcDc Temp,0.1C,,,,,,DC-DC Temperature
27,Load Percentage,LoadPercent,0.10%,,0~1000,,,,Load Percent
28,Battery Port Voltage,Bat_s_Volt,0.01V,,,,,,Battery-port volt (DSP)
29,Battery Bus Voltage,Bat_Volt_DSP,0.01V,,,,,,Battery-bus volt (DSP)
30,,Time total H,0.5S,,,,,,Work time total (high)
31,,Time total L,0.5S,,,,,,Work time total (low)
32,Buck1 Temperature,Buck1_NTC,0.1C,,,,,,Buck1 Temperature
33,Buck2 Temperature,Buck2_NTC,0.1C,,,,,,Buck2 Temperature
34,Output Current,OP_Curr,0.1A,,,,,,Output Current
35,Inverter Current,Inv_Curr,0.1A,,,,,,Inv Current
36,AC Input Watts,AC_InWatt H,0.1W,,,,,,AC input watt (high)
37,,AC_InWatt L,0.1W,,,,,,AC input watt (low)
38,AC Input VA,AC_InVA H,0.1VA,,,,,,AC    input    apparent    power (high)
39,,AC_InVA L,0.1VA,,,,,,AC    input    apparent    power (low)
40,,Fault bit,,,{{fault_bit_codes}},,,,fault bit
41,,Warning bit,,16bit_flags,{{warning_bit_codes}},,,,Warning bit
42,,Warning bit high,,16bit_flags,{{warning_bit_high_codes}},,,,
43,,warning value,,,,,,,warning value
44,,DTC,,,&*6,,,,Device Type Code
45,,Check Step,,,{{check_step_codes}},,,,Product check step
46,,Production Line Mode,,,{{production_line_mode_codes}},,,,Production Line Mode
47,,ConstantPowerOKFlag,,,0: Not OK 1: OK,,,,Constant Power OK Flag
48,PV1 KWH Today,Epv1_today H,0.1kWh,,,10x,,,PV Energy today
49,,Epv1_today L,0.1kWh,,,10x,,,PV Energy today
50,PV1 KWH Total,Epv1_total H,0.1kWh,,,10x,,,PV Energy total
51,,Epv1_total L,0.1kWh,,,10x,,,PV Energy total
52,PV2 KWH Today,Epv2_today H,0.1kWh,,,10x,,,PV Energy today
53,,Epv2_today L,0.1kWh,,,10x,,,PV Energy today
54,PV2 KWH Total,Epv2_total H,0.1kWh,,,10x,,,PV Energy total
55,,Epv2_total L,0.1kWh,,,10x,,,PV Energy total
56,AC Input KWH Today,Eac_chrToday H,0.1kWh,,,10x,,,AC charge Energy today
57,,Eac_chrToday L,0.1kWh,,,10x,,,AC charge Energy today
58,AC Input KWH Total,Eac_chrTotal H,0.1kWh,,,10x,,,AC charge Energy total
59,,Eac_chrTotal L,0.1kWh,,,10x,,,AC charge Energy total
60,Battery Discharge KWH Today,Ebat_dischrToday H,0.1kWh,,,10x,,,Bat discharge Energy today
61,,Ebat_dischrToday L,0.1kWh,,,10x,,,Bat discharge Energy today
62,Battery Discharge KWH Total,Ebat_dischrTotal H,0.1kWh,,,10x,,,Bat discharge Energy total
63,,Ebat_dischrTotal L,0.1kWh,,,10x,,,Bat discharge Energy total
64,AC Discharge KWH Today,Eac_dischrToday H,0.1kWh,,,10x,,,AC discharge Energy today
65,,Eac_dischrToday L,0.1kWh,,,10x,,,AC discharge Energy today
66,AC Discharge KWH Total,Eac_dischrTotal H,0.1kWh,,,10x,,,AC discharge Energy total
67,,Eac_dischrTotal L,0.1kWh,,,10x,,,AC discharge Energy total
68,AC Charge Current,ACChrCurr,0.1A,,,,,,AC Charge Battery Current
69,AC Discharge Watts,AC_DisChrWatt H,0.1W,,,,,,AC discharge watt (high)
70,,AC_DisChrWatt L,0.1W,,,,,,AC discharge watt (low)
71,AC Discharge VA,AC_DisChrVA H,0.1VA,,,,,,AC  discharge  apparent  power (high)
72,,AC_DisChrVA L,0.1VA,,,,,,AC  discharge  apparent  power (low)
73,Battery Discharge Watts,Bat_DisChrWatt H,0.1W,,,,,,Bat discharge watt (high)
74,,Bat_DisChrWatt L,0.1W,,,,,,Bat discharge watt (low)
75,Battery Discharge VA,Bat_DisChrVA H,0.1VA,,,,,,Bat discharge apparent power (high)
76,,Bat_DisChrVA L,0.1VA,,,,,,Bat discharge apparent power (low)
77,Battery Input Watts,Bat_Watt H,0.1W,INT,(signed int 32) Positive:Battery Discharge Power  Negative:          Battery Charge Power,,,,Bat watt (high); extra: 0.1W
78,,Bat_Watt L,0.1W,,,,,,Bat watt (low)
79,,uwSlaveExistCnt,,,,,,,uwSlaveExistCnt
80,Battery Over Charge Flag,BatOverCharge,,,0:Battery not over charge 1:Battery over charge,,,,Battery Over Charge Flag
81,MPPT Fan Speed Percent,MpptFanSpeed,1.00%,,0~100,,,,Fan speed of MPPT Charger
82,Inverter Fan Speed Percent,InvFanSpeed,1.00%,,0~100,,,,Fan speed of Inverter
83,Total Charge Current,TotalChgCur,0.1A,,,,,,Total Charge current
85,,Eop_dischrToday H,,,,,,,Op discharge Enerday today
86,,Eop_dischrToday L,,,,,,,
87,,Eop_dischrTotal H,,,,,,,Op discharge Enerday total
88,,Eop_dischrTotal L,,,,,,,
90,Parallel Charge Current,ParaChgCurr,0.1A,,,,,,Para system charge current
