register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0,,version,,,600~700,,,,Version number (628 - representing V6.2.8)
1,,channel a to h current,,,40~120,,,,"Current A-H (01-08) channel range - unsigned number (value 40, representing 40A)"
2,,channel i to p current,,,40~120,,,,"Current I-P (09-16) channel range, unsigned number (value 40, representing 40A)"
3,,address,,byte,1~255,,WD,,Low byte is setThe standby address (01H-FFH)  00 is the broadcast address.
3.b8,,baud rate,,4bit,"{""0"": ""9600"", ""1"": ""1200"", ""2"": ""2400"", ""3"": ""4800"", ""4"": ""9600"", ""5"": ""19200"", ""6"": ""38400"", ""7"": ""57600"", ""8"": ""115200""}",,WD,,the high byte has a low four-bit baud rate (0-8)
3.b12,,check bit,,4bit,"{""0"" : ""N, 8, 1"", ""1"" : ""E, 8, 1"", ""2"" : ""O, 8, 1"", ""3"": ""N, 8, 2""}",,WD,,and the high byte has a high four-bit check bit (0-3).
4,,factory date month,,8bit,1~12,,,,Factory date ( low byte month)
4.b8,,factory date year,,8bit,,,,,Factory date (high byte year); gives me 36 instead of 24.
5,,Reserved,,,0,,,,Reserved
6,,frequency division coefficient,,,1~5,,WD,,"Default 0005H, frequency division coefficient (value 1-5). Working frequency range=[10Hz*5/frequency dividing coefficient]-400Hz"
7,,selection factor,,byte,30,,WD,,The low byte is the selection factor and the default is 30. Actual frequency selection factor = (1 + frequency selection coefficient / 10)  do not modify in non-special circumstances.
7.b8,,measurement result threshold,,byte,0~120,,WD,,High byte measurement result threshold (directly set to 0 when the original measurement result is less than this value).
8,,Channel A current,0.01A,,0~120,,,,Channel A current
9,,Channel B current,0.01A,,0~120,,,,Channel B current
10,,Channel C current,0.01A,,0~120,,,,Channel C current
11,,Channel D current,0.01A,,0~120,,,,Channel D current
12,,Channel E current,0.01A,,0~120,,,,Channel E current
13,,Channel F current,0.01A,,0~120,,,,Channel F current
14,,Channel G current,0.01A,,0~120,,,,Channel G current
15,,Channel H current,0.01A,,0~120,,,,Channel H current
16,,Channel I current,0.01A,,0~120,,,,Channel I current
17,,Channel J current,0.01A,,0~120,,,,Channel J current
18,,Channel K current,0.01A,,0~120,,,,Channel K current
19,,Channel L current,0.01A,,0~120,,,,Channel L current
20,,Channel M current,0.01A,,0~120,,,,Channel M current
21,,Channel N current,0.01A,,0~120,,,,Channel N current
22,,Channel O current,0.01A,,0~120,,,,Channel O current
23,,Channel P current,0.01A,,0~120,,,,Channel P current
24,,Channel A frequency,0.1Hz,,0~70,,,,Channel A frequency
25,,Channel B frequency,0.1Hz,,0~70,,,,Channel B frequency
26,,Channel C frequency,0.1Hz,,0~70,,,,Channel C frequency
27,,Channel D frequency,0.1Hz,,0~70,,,,Channel D frequency
28,,Channel E frequency,0.1Hz,,0~70,,,,Channel E frequency
29,,Channel F frequency,0.1Hz,,0~70,,,,Channel F frequency
30,,Channel G frequency,0.1Hz,,0~70,,,,Channel G frequency
31,,Channel H frequency,0.1Hz,,0~70,,,,Channel H frequency
32,,Channel I frequency,0.1Hz,,0~70,,,,Channel I frequency
33,,Channel J frequency,0.1Hz,,0~70,,,,Channel J frequency
34,,Channel K frequency,0.1Hz,,0~70,,,,Channel K frequency
35,,Channel L frequency,0.1Hz,,0~70,,,,Channel L frequency
36,,Channel M frequency,0.1Hz,,0~70,,,,Channel M frequency
37,,Channel N frequency,0.1Hz,,0~70,,,,Channel N frequency
38,,Channel O frequency,0.1Hz,,0~70,,,,Channel O frequency
39,,Channel P frequency,0.1Hz,,0~70,,,,Channel P frequency
40,,Channel A current transformer ratio,,,1~2000,,W,,Channel A current transformer ratio
41,,Channel B current transformer ratio,,,1~2000,,W,,Channel B current transformer ratio
42,,Channel C current transformer ratio,,,1~2000,,W,,Channel C current transformer ratio
43,,Channel D current transformer ratio,,,1~2000,,W,,Channel D current transformer ratio
44,,Channel E current transformer ratio,,,1~2000,,W,,Channel E current transformer ratio
45,,Channel F current transformer ratio,,,1~2000,,W,,Channel F current transformer ratio
46,,Channel G current transformer ratio,,,1~2000,,W,,Channel G current transformer ratio
47,,Channel H current transformer ratio,,,1~2000,,W,,Channel H current transformer ratio
48,,Channel I current transformer ratio,,,1~2000,,W,,Channel I current transformer ratio
49,,Channel J current transformer ratio,,,1~2000,,W,,Channel J current transformer ratio
50,,Channel K current transformer ratio,,,1~2000,,W,,Channel K current transformer ratio
51,,Channel L current transformer ratio,,,1~2000,,W,,Channel L current transformer ratio
52,,Channel M current transformer ratio,,,1~2000,,W,,Channel M current transformer ratio
53,,Channel N current transformer ratio,,,1~2000,,W,,Channel N current transformer ratio
54,,Channel O current transformer ratio,,,1~2000,,W,,Channel O current transformer ratio
55,,Channel P current transformer ratio,,,1~2000,,W,,Channel P current transformer ratio
