register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
4501,,Working Mode,,USHORT,,,R,,
4502,,Effective mains voltage,0.017V,USHORT,,,R,,
4503,,Mains Frequency,0.0008Hz,USHORT,,,R,,
4504,,PV voltage,0.002V,USHORT,,,R,,
4505,,Charging settings,,USHORT,,,R,,
4506,,Battery Voltage,0.012V,USHORT,,,R,,
4507,,Battery state,,USHORT,,,R,,
4508,,Battery charge current,0.01A,SHORT,,,R,,"Positive numbers indicate inverter output, negative numbers indicate inverter input"
4509,,Battery discharge current,0.01A,USHORT,,,R,,
4510,,Output effective voltage,0.015V,USHORT,,,R,,
4511,,Output effective Current,0.00005A,USHORT,,,R,,
4512,,Load Power,0.015W,USHORT,,,R,,
4513,,Load VA,0.01VA,USHORT,,,R,,
4514,,Inverter load percentage,0.0001%,USHORT,,,R,,
4515,,Second load percentage,0.0001%,USHORT,,,R,,
4516,,Settings1,,USHORT,"{ ""b0"": ""Reserve"", ""b1"": ""ukn"", ""b2"": ""overload?"", ""b3"": ""Reserve"" }",,R,,
4517,,Battery average power,0.01W,USHORT,,,R,,
4519,,PV average voltage,0.01V,USHORT,,,R,,
4520,,PV average Current,0.001A,USHORT,,,R,,
4523,,PV average power,0.0001W,USHORT,,,R,,
4524,,PV charging average power,0.01W,USHORT,,,R,,
4525,,Main load percentage,0.0001%,USHORT,,,R,,
4526,,DC to DC Temperature,0.01C,SHORT,,,R,,
4527,,Inverter Temperature,0.01C,SHORT,,,R,,
4529,,Battery percentage,0.01%,USHORT,,,R,,
4530,,Error code,,USHORT,,,,,
4532,,Battery average current,0.001A,SHORT,,,R,,"Positive number means charging, negative number means discharging"
4533,,Inverter charging average current,0.001A,USHORT,,,R,,
4534,,PV charging average current,0.001A,USHORT,,,R,,
4535,,Settings2,,USHORT,"{""b0"": ""Settings"", ""b1"": ""record fault code"", ""b2"": ""equalization"", ""b3"": ""unk3"", ""b4"": ""equalize impatiently"", ""b5"": ""unk5"", ""b6"": ""unk6"",""b7"": ""unk7"",""b8"": ""restart on overload"",""b10"": ""restart on overheat"",""b11"": ""beep on primary power fail"",""b12"": ""return to default screen"",""b13"": ""overload bypass""}",,R,,
4536,,Output Mode,,USHORT,"{""0"": ""Single"", ""1"": ""Parallel"", ""2"": ""3 Phase-P1"", ""3"": ""3 Phase-P2"", ""4"": ""3 Phase-P3"", ""5"": ""Split Phase-P1"", ""6"": ""Split Phase-P2""}",,R,,
4537,,Output priority,,USHORT,"{""0"": ""Utility-PV-Battery"", ""1"": ""PV-Utility-Battery"", ""2"": ""PV-Battery-Utility""}",,R,,
4538,,Input voltage range,,USHORT,"{""0"": ""Wide range"", ""1"": ""Narrow range""}",,R/W,,0: Wide range 1: Narrow range
4540,,Output frequency,0.005Hz,USHORT,,,R,,
4541,,Maximum combined charging current,0.004A,USHORT,,,R,,
4542,,Target voltage,0.004V,USHORT,,,R,,
4543,,Max utility charging current,0.005A,USHORT,,,R/W,,
4544,,Voltage to return to utility,0.001V,USHORT,,,R/W,,
4545,,Voltage to return to battery,0.00085V,USHORT,,,R/W,,
4546,,Bulk charge voltage,0.003V,USHORT,,,R/W,,
4547,,Float charge voltage,0.0075V,USHORT,,,R/W,,
4548,,Low voltage cut off,0.001V,USHORT,,,R/W,,
4549,,Battery EQ voltage,0.003V,USHORT,,,R/W,,
4550,,Battery EQ time,0.1S,USHORT,,,R/W,,
4551,,Battery EQ Timeout,0.1S,USHORT,,,R/W,,
4552,,Battery EQ Interval,0.004D,USHORT,,,R/W,,
4553,,Operation mode,,USHORT,"{""1"": ""On Battery"", ""2"": ""AC Active"", ""10"": ""Inverter off"", ""20"": ""AC Active"", ""40"": ""Load enabled""}",,R/W,,
4554,,Bin flags,,USHORT,"{""1"": ""On Battery"", ""20"": ""AC Active"", ""80"": "": ""Load enabled""}",,R/W,,
4555,,Charger state,,USHORT,,,R,,
