register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
256,battery_soc,Battery SOC,%,ushort,0-100,,R,,State of charge. skip_updates:1. addr 0x100.
257,battery_voltage,Battery Voltage,0.1V,ushort,,,R,,Battery voltage. raw*0.1=V. addr 0x0101.
258,battery_current,Battery Current,0.1A,ushort,,,R,,"Battery current. raw*-0.1=A (sign inverted in filter, so positive=discharge as read from register but displayed negative per multiply:-0.1). skip_updates:1. addr 0x0102."
263,pv1_voltage,PV1 Voltage,0.1V,ushort,,,R,,PV1 voltage. raw*0.1=V. addr 0x0107.
264,pv1_current,PV1 Current,0.1A,ushort,,,R,,PV1 current. raw*0.1=A. addr 0x0108.
265,pv1_power,PV1 Power,W,ushort,,,R,,PV1 power (no scaling). addr 0x0109.
271,pv2_voltage,PV2 Voltage,0.1V,ushort,,,R,,PV2 voltage. raw*0.1=V. addr 0x010F.
272,pv2_current,PV2 Current,0.1A,ushort,,,R,,PV2 current. raw*0.1=A. addr 0x0110.
273,pv2_power,PV2 Power,W,ushort,,,R,,PV2 power (no scaling). addr 0x0111.
516,fault_code_1,Fault Code 1,,ushort,"see fault code table (1-64)",,R,,"Active fault/error code 1. Diagnostic. Also read as HEXBYTES for text_sensor decode (Fault 1 Text). addr 0x0204."
517,fault_code_2,Fault Code 2,,ushort,"see fault code table (1-64)",,R,,"Active fault/error code 2. Diagnostic. Also read as HEXBYTES for text_sensor decode (Fault 2 Text). addr 0x0205."
531,grid_voltage_l1,Grid Voltage L1,0.1V,ushort,,,R,,Grid input voltage L1. raw*0.1=V. addr 0x0213.
532,grid_current_l1,Grid Current L1,0.1A,ushort,,,R,,Grid input current L1. raw*0.1=A. addr 0x0214.
533,grid_frequency,Grid Frequency,0.01Hz,ushort,,,R,,Grid input frequency. raw*0.01=Hz. addr 0x0215.
534,inverter_voltage_l1,Inverter Voltage L1,0.1V,ushort,,,R,,Inverter output voltage L1. raw*0.1=V. addr 0x0216.
535,inverter_current_l1,Inverter Current L1,0.1A,ushort,,,R,,Inverter output current L1. raw*0.1=A. addr 0x0217.
536,inverter_frequency,Inverter Frequency,0.01Hz,ushort,,,R,,Inverter output frequency. raw*0.01=Hz. addr 0x0218.
539,inverter_active_power_l1,Inverter Active Power L1,W,ushort,,,R,,Inverter output active power L1 (no scaling). addr 0x021B.
543,inverter_load_ratio_l1,Inverter Load Ratio L1,%,ushort,,,R,,Inverter output load ratio L1 (no scaling). addr 0x021F.
544,inverter_dcdc_temperature,Inverter DCDC Temperature,0.1C,ushort,,,R,,DC/DC stage temperature. raw*0.1=degC. addr 0x0220.
545,inverter_dcac_temperature,Inverter DCAC Temperature,0.1C,ushort,,,R,,DC/AC stage temperature. raw*0.1=degC. addr 0x0221.
546,inverter_translator_temperature,Inverter Translator Temperature,0.1C,ushort,,,R,,Translator/transformer temperature. raw*0.1=degC. addr 0x0222.
554,grid_voltage_l2,Grid Voltage L2,0.1V,ushort,,,R,,Grid input voltage L2. raw*0.1=V. addr 0x022A.
