register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
x351,,Battery Charge Voltage,0.1V,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X351.2,,Charge Current Limit,0.1A,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X351.4,,Discharge Current Limit,0.1A,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
x355,,Average SOC,1%,BYTE,,,,,
X355.2,,Average SOH,1%,BYTE,,,,,
x356,,Average Voltage,0.01V,SHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X356.2,,Total Current,0.1A,SHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X356.4,,Average Cell Temperature,0.1C,SHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
x359,,Protection,,16BIT_FLAGS,"{""b1"": ""cell or module over voltage"", ""b2"": ""cell or module under voltage"", ""b3"": ""cell over temperature"", ""b4"": ""cell under temperature"", ""b7"": ""discharge over current"", ""b8"": ""charge over current"", ""b11"": ""system error""}",,,,
x359.2,,Alarm,,16BIT_FLAGS,"{""b1"": ""cell or module high voltage"", ""b2"": ""cell or module low voltage"", ""b3"": ""cell high temperature"", ""b4"": ""cell low temperature"", ""b7"": ""discharge high current"", ""b8"": ""charge high current"", ""b11"": ""Internal communication fail""}",,,,
x359.4,,Module Numbers,,BYTE,,,,,
x359.5,,P,,BYTE,,,,,
x359.6,,N,,BYTE,,,,,
x35C,,Request Flag,,8BIT_FLAGS,"{""b7"":""Charge enable"",""b6"":""Discharge enable"",""b5"":""Request force charge I"",""b4"":""Request force charge II"",""b3"":""Request full charge"",""b2"":""b2"",""b1"":""b1"",""b0"":""b0""}",,,,
x35E,,Manufacturer Name,,ASCII,,,,,
x372,,Number of modules ok,,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X372.2,,Number of modules blocking charge,,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X372.4,,Number of modules blocking discharge,,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X372.6,,Number of modules offline,,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
x373,,min cell voltage,mv,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X373.2,,max cell voltage,mv,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X373.4,,lowest cell temperature,0.1C,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
X373.6,,highest cell temperature,0.1C,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
x379,,installed battery capacity,AH,USHORT,,,,"{""Register_Endian"": ""little_endian-CDAB""}",
