register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
3~7,serial number,SN,,ASCII,,,,,
60,,Day Active Power Wh,0.1kWh,SHORT,,,R,,Signed int. Inverter Grid port energy
63-64,,Total Active Power_Wh,0.1kWh,INT,,,R,,Signed int. Inverter Grid port energy
79,,Grid frequency,0.01Hz,,0~9999,,R,,
90,,DC_DC Transformer temperature,0.1C,,0~3000,,R,,
91,,IGBT Heat Sink temperature,0.1C,,0~3000,,R,,-56.2? indicated as 438 0? indicated as 1000 50.5 ? indicated as 1505
103,,Fault information word 1,,16BIT_FLAGS,"{""b7"": ""GFDI_Relay_Failure - F08"", ""b12"": ""Grid_Mode_changed - F13"", ""b13"": ""DC_OverCurr_Fault - F14"", ""b14"": ""SW_AC_OverCurr_Fault - F15"", ""b15"": ""GFCI_Failure - F16""}",,R,,"See ﾓFault Tableﾔ at the end of the document for values Uses bit flags, 64 separate bits One bit for each fault"
104,,Fault information word 2,,16BIT_FLAGS,"{""b1"": ""HW_Ac_OverCurr_Fault - F18"", ""b3"": ""Tz_Dc_OverCurr_Fault - F20"", ""b5"": ""Tz_EmergStop_Fault - F22"", ""b6"": ""Tz_GFCI_OC_Fault - F23"", ""b7"": ""DC_Insulation_ISO_Fault - F24"", ""b9"": ""BusUnbalance_Fault - F26"", ""b12"": ""Parallel_Fault - F29""}",,R,,
105,,Fault information word 3,,16BIT_FLAGS,"{“b0”:”AC_OverCurr_Fault” - F33, ""b1"": ""AC_Overload_Fault - F34"", ""b8"": ""AC_WU_OverVolt_Fault - F41"", ""b10"": ""AC_VW_OverVolt_Fault - F43"", ""b12"": ""AC_UV_OverVolt_Fault - F45"", ""b13"": ""Parallel_Aux_Fault - F46"", ""b14"": ""AC_OverFreq_Fault - F47"", ""b15"": ""AC_UnderFreq_Fault – F48""}",,R,,
106,,Fault information word 4,,16BIT_FLAGS,"{""b6"": ""DC_VoltHigh_Fault - F55"", ""b7"": ""DC_VoltLow_Fault - F56"", ""b9"": ""AC_U_GridCurr_High_Fault - F58"", ""b12"": ""Button_Manual_OFF - F61"", ""b13"": ""AC_B_InductCurr_High_Fault - F62"", ""b14"": ""Arc_Fault - F63"", ""b15"": ""Heatsink_HighTemp_Fault - F64""}",,R,,
107,,Corrected Batt Capacity,1AH,,0~1000,,R,,100 is 100AH
108,,Daily PV Power_Wh_,0.1kWh,,,,R,,
109,,Dc voltage 1,0.1V,,,,R,,
110,,Dc current 1,0.1A,,,,R,,
111,,Dc voltage 2,0.1V,,,,R,,
112,,Dc current 2,0.1A,,,,R,,
150,,Grid side voltage L1_N,0.1V,,,,R,,
151,,Grid side voltage L2_N,0.1V,,,,R,,
152,,Grid side voltage L1_L2,0.1V,,,,R,,
153,,Voltage at middle side of relay L1_L2,0.1V,,,,R,,
154,,Inverter output voltage L1_N,0.1V,,,,R,,
155,,Inverter output voltage L2_N,0.1V,,,,R,,
156,,Inverter output voltage L1_L2,0.1V,,,,R,,
157,,Load voltage L1,0.1V,,,,R,,
158,,Load voltage L2,0.1V,,,,R,,
160,,Grid side current L1,0.01A,SHORT,,,R,,Signed int
161,,Grid side current L2,0.01A,SHORT,,,R,,Signed int
162,,Grid external Limiter current L1,0.01A,SHORT,,,R,,Signed int
163,,Grid external Limiter current L2,0.01A,SHORT,,,R,,Signed int
164,,Inverter output current L1,0.01A,SHORT,,,R,,Signed int
165,,Inverter output current L2,0.01A,SHORT,,,R,,Signed int
166,,Gen or AC Coupled power input,1W,SHORT,,,R,,As load output: Output P is positive As AC input: Input P is negative
167,,Grid side L1 power,1W,SHORT,,,R,,Signed int
168,,Grid side L2 power,1W,SHORT,,,R,,Signed int
169,,Total power of grid side L1_L2,1W,SHORT,,,R,,Signed int > 0 BUY < 0 SELL
170,,Grid external Limter1 power_CT1_,1W,SHORT,,,R,,Signed int
171,,Grid external Limter2 power_CT2_,1W,SHORT,,,R,,Signed int
172,,Grid external Total Power,1W,SHORT,,,R,,Signed int
173,,Inverter outputs L1 power,1W,SHORT,,,R,,Signed int
174,,Inverter outputs L2 power,1W,SHORT,,,R,,Signed int
175,,Inverter output Total power,1W,SHORT,,,R,,Signed int
176,,Load side L1 power,1W,SHORT,,,R,,Signed int
177,,Load side L2 power,1W,SHORT,,,R,,Signed int
178,,Load side Total power,1W,SHORT,,,R,,Signed int
179,,Load current L1,0.01A,SHORT,,,R,,Signed int
180,,Load current L2,0.01A,SHORT,,,R,,Signed int
181,,Gen Port Voltage L1_L2,,,,,R,,
182,,Battery temperature,0.1C,,0~3000,,R,,Real value of offset  Plus 1000 1200 is 20.0 ?
183,,Battery voltage,0.01V,,,,R,,4100 mark of 41.0 V
184,,Battery capacity SOC,1.00%,,0~100,,R,,
186,,PV1 input power,1W,,,,R,,
187,,PV2 input power,1W,,,,R,,
190,,Battery output power,1W,SHORT,,,R,,Signed int
191,,Battery output current,0.01A,SHORT,,,R,,Signed int
192,,Load frequency,0.01Hz,,,,R,,
193,,Inverter output frequency,0.01Hz,,,,R,,
194,,Grid side relay status,,,"{""1"": ""Open (Disconnect)"", ""2"": ""Closed""}",,R,,1 is Open (Disconnect) 2 is Closed
195,,Generator side relay status,,16BIT_FLAGS,"{""b0"": ""Open"", ""b1"": ""Closed"", ""b2"": ""No Connection"", ""b3"": ""Closed when Generator is on""}",,R,,Low 4 indicates the state of generator relay 0 Open 1 Closed 2 No Connection 3 Closed when Generator is on.
196,,Generator relay Frequency,0.01Hz,,,,R,,
