register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0x000B,,Product type,,BYTE,"{""0"": ""domestic controller"", ""1"": ""controller for street light"", ""3"": ""grid-connected inverter"", ""4"": ""all-in-one solar charger inverter"", ""5"": ""power frequency off-grid""}",,R,,
0x0014,,Software version,0.01,,,,R,,
0x0016,,Hardware version,0.01,,,,R,,
0x001A,,RS485 address,,BYTE,1~247,,R,,
0x001C,,RS485 version,0.01,,,,R,,
0x0035~0x0048,,Product SN,,ASCII,,,R,,
0x0100,,Battery capacity SOC,%,,0~100,,R,,
0x0101,,Battery voltage,0.1V,,,,R,,
0x0102,,Battery current,0.1A,SHORT,,,R,,
0x0103,,Battery temperature,0.1C,SHORT,,,R,,
0x0107,,PV1 voltage,0.1V,,,,R,,
0x0108,,PV1 current,0.1A,,,,R,,
0x0109,,PV1 power,W,,,,R,,
0x010B,,Device Charge state,,BYTE,"{""0"": ""Charge off"", ""1"": ""Quick charge"", ""2"": ""Const voltage charge"", ""4"": ""Float charge"", ""6"": ""Li battery activate"", ""8"": ""Full""}",,R,,
0x010E,,Device Total charging power,W,,,,R,,
0x010F,,PV2 voltage,0.1V,,,,R,,
0x0110,,PV2 current,0.1A,,,,R,,
0x0111,,PV2 power,W,,,,R,,
0x0210,,Device state,,BYTE,"{""0"": ""Initialization"", ""1"": ""Standby"", ""2"": ""AC power operation"", ""3"": ""Inverter operation""}",,R,,
0x0212,,Device Bus Voltage Sum,0.1V,,,,R,,
0x0213,,Grid phase_A voltage,0.1V,,,,R,,
0x0214,,Grid phase_A current,0.1A,,,,R,,
0x0215,,Grid frequency,0.01Hz,,,,R,,
0x0216,,Inverter phase_A output voltage,0.1V,,,,R,,
0x0217,,Inverter phase_A inductive current,0.1A,,,,R,,
0x0218,,Inverter frequency,0.01Hz,,,,R,,
0x0219,,Load Phase_A current,0.1A,,,,R,,
0x021B,,Load Phase_A active power,W,,,,R,,
0x021C,,Load Phase_A apparent power,VA,,,,R,,
0x021F,,Load Phase_A ratio,%,,0~100,,R,,
0x022A,,Grid phase_B voltage,0.1V,,,,R,,
0x022B,,Grid phase_C voltage,0.1V,,,,R,,
0x022C,,Inverter phase_B output voltage,0.1V,,,,R,,
0x022D,,Inverter phase_C output voltage,0.1V,,,,R,,
0x022E,,Inverter phase_B inductive current,0.1A,,,,R,,
0x022F,,Inverter phase_C inductive current,0.1A,,,,R,,
0x0230,,Load Phase_B current,0.1A,,,,R,,
