register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0x000A,,max voltage supported by the system,V,byte,12~96,,R,,
0x000A.b8,,rated charging Current,A,byte,10~60,,R,,
0x000B,,rated discharging current,A,byte,10~60,,R,,
0x000B.b8,,product type,,byte,"{""0"": ""controller"", ""01"": ""inverter""}",,R,,
0x000C~0x0013,,Product model,,ASCII,,,R,,
0x0014~0x0015,,Software version,,ASCII,,,R,,
0x0016~0x0017,,Hardware version,,ASCII,,,R,,
0x0018~0x0019,serial number,Product serial number,,ASCII,,,R,,
0x001A.b8,,device address,,byte,1~247,,RW,,
0x0100.b8,,Battery capacity SOC,,byte,0~100,,R,,
0x0101,,Battery voltage,0.1V,,,,R,,
0x0102,,Charging current to battery,0.01A,,,,R,,
0x0103,,Controller temperature,C,8SMBIT,,,R,,
0x0103.b8,,Battery temperature,C,8SMBIT,,,R,,
0x0104,,Load dc voltage,0.1V,,,,R,,
0x0105,,Load dc current,0.01A,,,,R,,
0x0106,,Load dc power,W,,,,R,,
0x0107,,Solar panel voltage,V,,,,R,,
0x0108,,Solar panel current to controller,0.01A,,,,R,,
0x0109,,Charging power,W,,,,R,,
0x010A,,Load OnOff command,,,0~1,,RW,,"0001 to turn on the load, 0000to turn off the load"
0x010B,,Battery's min voltage of the current day,V,,,,R,,
0x010C,,Battery's max voltage of the current day,V,,,,R,,
0x010D,,Max charging current of the current day,0.01A,,,,R,,
0x010E,,Max Discharging current of the current day,0.01A,,,,R,,
0x010F,,Max  charging power of the current day,W,,,,R,,
0x0110,,Max  discharging power of the current day,W,,,,R,,
0x0111,,Charging amp hrs of the current day,AH,,,,R,,
0x0112,,Discharging amp hrs of the current day,AH,,,,R,,
0x0113,,Power generation of the current day,W,,,,R,,
0x0114,,Power consumption of the day,W,,,,R,,
0x0115,,Total number of operating days,Days,,,,R,,
0x0116,,Total number of battery over discharges,,,,,R,,
0x0117,,Total number of battery full charges,,,,,,,
0x0118~0x0119,,Total charging amp hrs of the battery,AH,UINT,,,R,,
0x011A~011B,,Total discharging amp hrs of the Battery,AH,UINT,,,R,,
0x011C~0x011D,,Cumulative power Generation,W,UINT,,,R,,
0x011E~0x011F,,Cumulative power consumption,W,UINT,,,R,,
0x0120,,Load Brightness,%,7BIT,,,R,,
0x0120.b7,,Load Status,,1BIT,"{""0"": ""Load Off"", ""01"": ""Load On""}",,R,,
0x0120.b8,,Charging state,,8BIT,"{""0"": ""charging deactivated"", ""1"": ""charging activated"", ""2"": ""mppt charging mode"", ""3"": ""equalizing charging mode"", ""4"": ""boost charging mode"", ""5"": ""floating charging mode"", ""6"": ""current limiting (overpower)""}",,R,,
