register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
Alarm,alarm_state,Alarm State,,string,"ON,OFF",,R,,General alarm flag
AR,alarm_reason,Alarm Reason,,uint,0-65535,,R,,Bitmask; see BMV register 266 for bit definitions (BMV only)
BMV,bmv_model,BMV Model String,,string,,,R,,Model identifier string (e.g. BMV-712 Smart); sent at  only
CE,consumed_energy,Consumed Energy,mAh,int,,,R,,Ah consumed since last full charge (BMV only; negative value)
CS,charge_state,Charge State,,uint,"0=off,2=fault,3=bulk,4=absorption,5=float,7=equalize (manual),9=inverting,245=starting up,247=auto equalize,252=external control",,R,,Current charge algorithm or inverter state
DM,midpoint_deviation,Mid-point Deviation,0.1%,int,-1000-1000,,R,,Mid-point voltage deviation from ideal; divide by 10
ERR,error_code,Error Code,,uint,0-255,,R,,Active error code; 0=no error; see Victron error code table
FW,firmware_version,Firmware Version,,string,,,R,,Firmware version (e.g. 0307); sent at  only
FWE,firmware_version_ext,Firmware Version Extended,,string,,,R,,Extended firmware version (newer devices)
H1,hist_deepest_discharge,Deepest Discharge,mAh,int,,,R,,Historical deepest discharge depth (BMV only)
H10,hist_auto_syncs,Automatic Syncs,,uint,0-65535,,R,,Automatic SOC synchronization event count (BMV only)
H11,hist_low_volt_alarms,Low Voltage Alarms,,uint,0-65535,,R,,Count of low voltage alarm activations (BMV only)
H12,hist_high_volt_alarms,High Voltage Alarms,,uint,0-65535,,R,,Count of high voltage alarm activations (BMV only)
H13,hist_low_aux_alarms,Low Aux Voltage Alarms,,uint,0-65535,,R,,Count of low auxiliary voltage alarms (BMV only)
H14,hist_high_aux_alarms,High Aux Voltage Alarms,,uint,0-65535,,R,,Count of high auxiliary voltage alarms (BMV only)
H15,hist_min_aux_voltage,Minimum Aux Voltage,mV,int,,,R,,Lowest auxiliary battery voltage recorded (BMV only)
H16,hist_max_aux_voltage,Maximum Aux Voltage,mV,int,,,R,,Highest auxiliary battery voltage recorded (BMV only)
H17,hist_yield_total,Yield Total,0.01kWh,uint,,,R,,Total energy harvested since installation (MPPT only); divide by 100
H18,hist_yield_today_reset,Yield Resets,,uint,0-65535,,R,,Count of yield today counter resets (MPPT only)
H19,hist_yield_yesterday,Yield Yesterday,0.01kWh,uint,,,R,,Solar energy harvested previous day (MPPT only); divide by 100
H2,hist_last_discharge,Last Discharge,mAh,int,,,R,,Discharge depth of last cycle (BMV only)
H20,hist_yield_today,Yield Today,0.01kWh,uint,,,R,,Solar energy harvested today (MPPT only); divide by 100
