register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0,,Current,0.01A,,,,R,,Positive: charging Negative: discharging
1,,Voltage_of_pack,0.01V,,,,R,,
2,,SOC,,BYTE,0~100,,R,,0~100
3,,SOH,,BYTE,0~100,,R,,0~100
4,,Remain_capacity,0.01AH,,,,R,,
5,,Full_capacity,0.01AH,,,,R,,
6,,Design_capacity,0.01AH,,,,R,,
7,,Battery_cycle_counts,Cyc.,,,,R,,
9,,Warning_flag,,16BIT_FLAGS,"{""b0"": ""battery cell overvoltage alarm"", ""b1"": ""battery cell low voltage alarm"", ""b2"": ""battery pack overvoltage alarm"", ""b3"": ""battery pack low voltage alarm"", ""b4"": ""charging over current alarm"", ""b5"": ""discharging over current alarm"", ""b8"": ""charging high temperature alarm"", ""b9"": ""discharging high temperature alarm"", ""b10"": ""charging low temperature alarm"", ""b11"": ""discharging low temperature alarm"", ""b12"": ""environment high temperature alarm"", ""b13"": ""environment low temperature alarm"", ""b14"": ""MOSFET high temperature alarm"", ""b15"": ""SOC Low alarm""}",,R,,See description-1
10,,Protection_flag,,16BIT_FLAGS,"{""b0"": ""battery cell over voltage protection"", ""b1"": ""battery cell low voltage protection"", ""b2"": ""battery pack over voltage protection"", ""b3"": ""battery pack low voltage protection"", ""b4"": ""charging over current protection"", ""b5"": ""discharging over current protection"", ""b6"": ""short circuit protection"", ""b7"": ""charger overvoltage protection"", ""b8"": ""charging high temperature protection"", ""b9"": ""discharging high temperature protection"", ""b10"": ""charging low temperature protection"", ""b11"": ""discharging low temperature protection"", ""b12"": ""MOSFET high temperature protection"", ""b13"": ""environment high temperature protection"", ""b14"": ""environment low temperature protection"", ""b15"": ""reserve""}",,R,,See description-2
11,,Status_Fault_flag,,16BIT_FLAGS,"{""b0"": ""charging MOSFET fault"", ""b1"": ""discharging MOSFET fault"", ""b2"": ""temperature sensor fault"", ""b3"": ""reserve"", ""b4"": ""battery cell fault"", ""b5"": ""front end sampling communication fault"", ""b6"": ""reserve"", ""b7"": ""reserve"", ""b8"": ""state of charge"", ""b9"": ""state of discharge"", ""b10"": ""charging MOSFET is ON"", ""b11"": ""discharging MOSFET is ON"", ""b12"": ""charging Limiter is ON"", ""b13"": ""reserve"", ""b14"": ""charger inversed"", ""b15"": ""heater is ON""}",,R,,See description-3
12,,Balance_status,,,,,R,,
15,,Cell_1_Voltage,1mv,,,,R,,"Voltage of 16 cells, 2 byte for each cell"
16,,Cell_2_Voltage,1mv,,,,R,,
17,,Cell_3_Voltage,1mv,,,,R,,
18,,Cell_4_Voltage,1mv,,,,R,,
19,,Cell_5_Voltage,1mv,,,,R,,
20,,Cell_6_Voltage,1mv,,,,R,,
21,,Cell_7_Voltage,1mv,,,,R,,
22,,Cell_8_Voltage,1mv,,,,R,,
23,,Cell_9_Voltage,1mv,,,,R,,
24,,Cell_10_Voltage,1mv,,,,R,,
25,,Cell_11_Voltage,1mv,,,,R,,
26,,Cell_12_Voltage,1mv,,,,R,,
27,,Cell_13_Voltage,1mv,,,,R,,
28,,Cell_14_Voltage,1mv,,,,R,,
29,,Cell_15_Voltage,1mv,,,,R,,
30,,Cell_16_Voltage,1mv,,,,R,,
31,,Cell_1_Temperature,0.1C,4BIT,,,R,,
31.b4,,Cell_2_Temperature,0.1C,4BIT,,,R,,
31.b8,,Cell_3_Temperature,0.1C,4BIT,,,R,,
31.b12,,Cell_4_Temperature,0.1C,4BIT,,,R,,
32,,Cell_5_Temperature,0.1C,4BIT,,,R,,
32.b4,,Cell_6_Temperature,0.1C,4BIT,,,R,,
32.b8,,Cell_7_Temperature,0.1C,4BIT,,,R,,
32.b12,,Cell_8_Temperature,0.1C,4BIT,,,R,,
33,,Cell_9_Temperature,0.1C,4BIT,,,R,,
33.b4,,Cell_10_Temperature,0.1C,4BIT,,,R,,
33.b8,,Cell_11_Temperature,0.1C,4BIT,,,R,,
33.b12,,Cell_12_Temperature,0.1C,4BIT,,,R,,
34,,Cell_13_Temperature,0.1C,4BIT,,,R,,
34.b4,,Cell_14_Temperature,0.1C,4BIT,,,R,,
34.b8,,Cell_15_Temperature,0.1C,4BIT,,,R,,
34.b12,,Cell_16_Temperature,0.1C,4BIT,,,R,,
35,,MOSFET_temperature,0.1C,,,,R,,
36,,Environment_temperature,0.1C,,,,R,,
40~41,,Cumulative_discharging_AH,0.01AH,UINT,,,R,,
42~43,,Cumulative_discharging_KWH,WH,UINT,,,R,,
56,,Year,,BYTE,,,RW,,
56.b8,,Month,,BYTE,,,RW,,
57,,Day,,BYTE,,,RW,,
57.b8,,Hour,,BYTE,,,RW,,
58,,Minute,,BYTE,,,RW,,
58.b8,,Second,,BYTE,,,RW,,
60,,Pack_OV_alarm,mV,,,,RW,,
61,,Pack_OV_protection,mV,,,,RW,,
62,,Pack_OV_release_protection,mV,,,,RW,,
63,,Pack_OV_protection_delay_time,0.1S,,1~255,,RW,,
64,,Cell_OV_alarm,mV,,,,RW,,
65,,Cell_OV_protection,mV,,,,RW,,
66,,Cell_OV_release_protection,mV,,,,RW,,
67,,Cell_OV_protection_delay_time,0.1S,,1~255,,RW,,
68,,Pack_UV_alarm,mV,,,,RW,,
69,,Pack_UV_protection,mV,,,,RW,,
70,,Pack_UV_release_protection,mV,,,,RW,,
71,,Pack_UV_protection_delay_time,0.1S,,1~255,,RW,,
72,,Cell_UV_alarm,mV,,,,RW,,
73,,Cell_UV_protection,mV,,,,RW,,
74,,Cell_UV_release_protection,mV,,,,RW,,
75,,Cell_UV_protection_delay_time,0.1S,,1~255,,RW,,
76,,Charging_OC_alarm,A,,,,RW,,
77,,Charging_OC_protection,A,,,,RW,,
78,,Charging_OC_protection_delay_time,0.1S,,1~255,,RW,,
79,,Discharging_OC_alarm,A,,,,RW,,
80,,Discharging_OC_protection,A,,,,RW,,
81,,Discharging_OC_protection_delay_time,0.1S,,1~255,,RW,,
82,,Discharging_OC2_protection,A,,,,RW,,
83,,Discharging_OC2_protection_delay_time,0.025S,,1~255,,RW,,
84,,Charging_OT_alarm,0.1?,SHORT,,,RW,,
85,,Charging_OT_protection,0.1?,SHORT,,,RW,,
86,,Charging_OT_release_protection,0.1?,SHORT,,,RW,,
87,,Discharging_OT_alarm,0.1?,SHORT,,,RW,,
88,,Discharging_OT_protection,0.1?,SHORT,,,RW,,
89,,Discharging_OT_release_protection,0.1?,SHORT,,,RW,,
90,,Charging_UT_alarm,0.1?,SHORT,,,RW,,
91,,Charging_UT_protection,0.1?,SHORT,,,RW,,
92,,Charging_UT_release_protection,0.1?,SHORT,,,RW,,
93,,Discharging_UT_alarm,0.1?,SHORT,,,RW,,
94,,Discharging_UT_protection,0.1?,SHORT,,,RW,,
95,,Discharging_UT_release_protection,0.1?,SHORT,,,RW,,
96,,MOSFET_OT_alarm,0.1?,SHORT,,,RW,,Or invalid parameters in BMS-4820
97,,MOSFET_OT_protection,0.1?,SHORT,,,RW,,
98,,MOSFET_OT_release_protection,0.1?,SHORT,,,RW,,
99,,Environment_OT_alarm,0.1?,SHORT,,,RW,,
100,,Environment_OT_protection,0.1?,SHORT,,,RW,,
101,,Environment_OT_release_protection,0.1?,SHORT,,,RW,,
102,,Environment_UT_alarm,0.1?,SHORT,,,RW,,
103,,Environment_UT_protection,0.1?,SHORT,,,RW,,
104,,Environment_UT_release_protection,0.1?,SHORT,,,RW,,
105,,Balance_start_cell_voltage,mV,,,,RW,,
106,,Balance_start_delta_voltage,mV,,,,RW,,
107,,Pack_full_charge_voltage,mV,,,,RW,,
108,,Pack_full_charge_current,mA,,,,RW,,
109,,Cell_sleep_voltage,mV,,,,RW,,
110,,Cell_sleep_delay_time,min,,,,RW,,
111,,Short_circuit_protect_delay_time,25uS,,,,RW,,Max 500uS
112,,SOC_alarm_threshold,,,0~100,,RW,,
113,,Charging_OC2_protection,A,,,,RW,,
114,,Charging_OC2_protection_delay_time,0.025S,,1~255,,RW,,
0150~0159,,Version_information,,ASCII,,,RW,,
0160~0169,,Model_SN,,ASCII,,,RW,,BMS Manufacturer
0170~0179,,PACK_SN,,ASCII,,,RW,,PACK Manufacturer
200,,LOG_read_control,,,,,D,,
201,,Year,,BYTE,,,D,,2018=18(Year)+2000
201.b8,,Month,,BYTE,,,D,,
202,,Day,,BYTE,,,D,,
202.b8,,Hour,,BYTE,,,D,,
203,,Minute,,BYTE,,,D,,
203.b8,,Second,,BYTE,,,D,,
204,,Current,,SHORT,10mA,,RD,,Positive: charging Negative: discharging
205,,Voltage_of_pack,,,10mV,,RD,,
206,,Remain_capacity,,,10mAH,,RD,,
207,,Full_capacity,,,10mAH,,RD,,
208,,Cell_voltage_1,,,mV,,RD,,"Voltage of 16 cells, 2 byte for each cell"
209,,Cell_voltage_2,,,mV,,RD,,
210,,Cell_voltage_3,,,mV,,RD,,
211,,Cell_voltage_4,,,mV,,RD,,
212,,Cell_voltage_5,,,mV,,RD,,
213,,Cell_voltage_6,,,mV,,RD,,
214,,Cell_voltage_7,,,mV,,RD,,
215,,Cell_voltage_8,,,mV,,RD,,
216,,Cell_voltage_9,,,mV,,RD,,
217,,Cell_voltage_10,,,mV,,RD,,
218,,Cell_voltage_11,,,mV,,RD,,
219,,Cell_voltage_12,,,mV,,RD,,
220,,Cell_voltage_13,,,mV,,RD,,
221,,Cell_voltage_14,,,mV,,RD,,
222,,Cell_voltage_15,,,mV,,RD,,
223,,Cell_voltage_16,,,mV,,RD,,
224,,Cell_temperature_1,,4BIT,0.1C,,RD,,"4 cell temperature, 2 byte for each cell"
224.b4,,Cell_temperature_2,,4BIT,0.1C,,RD,,
224.b8,,Cell_temperature_3,,4BIT,0.1C,,RD,,
224.b12,,Cell_temperature_4,,4BIT,0.1C,,RD,,
225,,Cell_temperature_5,,4BIT,0.1C,,RD,,
225.b4,,Cell_temperature_6,,4BIT,0.1C,,RD,,
225.b8,,Cell_temperature_7,,4BIT,0.1C,,RD,,
225.b12,,Cell_temperature_8,,4BIT,0.1C,,RD,,
226,,Cell_temperature_9,,4BIT,0.1C,,RD,,
226.b4,,Cell_temperature_10,,4BIT,0.1C,,RD,,
226.b8,,Cell_temperature_11,,4BIT,0.1C,,RD,,
226.b12,,Cell_temperature_12,,4BIT,0.1C,,RD,,
227,,Cell_temperature_13,,4BIT,0.1C,,RD,,
227.b4,,Cell_temperature_14,,4BIT,0.1C,,RD,,
227.b8,,Cell_temperature_15,,4BIT,0.1C,,RD,,
227.b12,,Cell_temperature_16,,4BIT,0.1C,,RD,,
228,,MOSFET_temperature,,,0.1C,,R,,
229,,Environment_temperature,,,0.1C,,R,,
230,,Battery_cycle_counts,,,Cyc.,,R,,
231,,Warning_flag,,,Hex,,R,,See description-1
232,,Protection_flag,,,Hex,,R,,See description-2
233,,Status_Fault_flag,,,Hex,,R,,See description-3
